n, m, k, value, time, valid, solution
50, 2, 2, 0.9730, 600.9380, 1, 0 0 1 0 0 1 0 0 1 0 0 0 1 0 1 1 1 1 0 1 1 1 1 0 0 1 1 1 0 0 1 0 1 1 1 1 0 1 0 1 0 0 0 0 1 0 0 0 1 0 
50, 5, 2, 3476.7470, 600.0050, 1, 0 1 0 0 1 0 1 1 1 0 0 1 1 1 1 0 1 0 1 1 1 1 0 1 1 1 1 1 0 0 1 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 1 1 
50, 10, 2, 16173.5240, 600.8851, 1, 0 1 0 1 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 1 1 0 1 1 1 0 0 1 1 1 1 0 0 0 1 0 1 0 0 1 1 0 1 0 1 1 1 0 0 1 
50, 20, 2, 57630.8140, 600.4211, 1, 0 1 1 0 1 0 1 0 0 0 1 1 0 1 1 0 0 1 1 0 1 1 0 0 0 1 0 1 1 0 0 1 0 1 1 0 0 0 1 1 0 1 1 0 1 0 1 1 0 0 
100, 2, 2, 14.2450, 600.2058, 1, 0 1 0 1 0 1 0 0 1 0 0 1 1 0 1 1 0 1 1 1 1 1 1 0 0 1 0 1 0 0 1 0 0 0 0 1 1 0 0 1 1 1 0 0 1 0 1 1 0 0 0 0 0 1 1 1 0 1 1 0 1 1 1 1 0 0 0 0 1 1 1 0 0 0 0 1 0 0 1 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 
100, 5, 2, 2444.5350, 600.8396, 1, 0 0 1 0 0 0 0 0 1 1 0 1 1 0 0 0 1 0 0 1 1 1 1 1 1 0 0 1 1 1 1 0 0 1 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 0 1 0 0 1 0 0 0 0 1 0 1 1 1 0 1 1 1 0 1 0 0 1 0 1 1 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 1 0 0 0 
100, 10, 2, 17711.2810, 600.1946, 1, 0 0 0 0 1 0 0 0 0 1 1 1 1 1 1 0 0 0 1 0 1 1 0 0 0 1 1 1 1 0 1 0 0 1 1 1 0 0 1 1 1 0 0 1 1 0 0 1 1 0 1 0 1 1 0 1 0 0 1 1 1 1 1 1 0 0 0 1 0 0 1 0 0 1 0 0 0 1 0 1 0 0 0 1 1 0 0 1 1 1 0 0 1 0 1 1 0 0 1 1 
100, 20, 2, 51947.7360, 600.7501, 1, 0 0 0 1 0 0 1 1 1 0 0 1 1 0 0 1 1 0 1 0 1 1 1 1 0 1 0 0 1 0 1 1 1 1 1 0 1 0 1 1 0 0 1 1 0 1 0 0 1 1 1 0 0 0 0 1 0 1 0 0 1 1 0 1 0 0 0 1 1 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 1 1 1 1 1 0 1 1 1 0 0 0 0 0 0 0 
50, 10, 3, 29386.3980, 1200.2285, 1, 0 1 2 2 1 0 1 0 1 2 1 0 2 1 0 1 2 2 2 0 1 0 1 1 2 0 1 1 2 0 1 1 0 1 2 0 2 2 2 0 0 2 0 2 1 1 0 0 2 2 
50, 10, 4, 46555.0950, 1200.4010, 1, 0 1 0 1 2 0 3 3 3 0 2 1 0 2 3 1 1 2 1 2 3 2 3 0 3 3 0 1 0 1 0 3 0 1 1 2 2 3 1 0 1 2 3 0 1 3 2 0 2 2 
50, 15, 3, 60391.1330, 1200.5607, 1, 0 0 1 2 2 1 0 0 2 2 2 2 0 2 1 1 1 0 2 0 2 1 2 1 0 1 2 0 0 0 1 0 2 2 1 0 1 1 2 2 1 0 0 1 0 1 2 2 0 1 
50, 15, 4, 75138.9480, 1200.1565, 1, 0 1 0 1 2 2 1 1 0 3 3 3 1 0 0 1 2 2 0 1 3 2 3 2 3 0 1 3 3 3 2 2 3 0 1 3 2 0 2 2 1 0 1 0 1 2 0 1 0 3 
50, 20, 3, 81437.1810, 1200.1786, 1, 0 1 1 0 1 1 1 2 2 0 1 0 1 2 2 0 1 1 2 1 0 0 0 1 0 1 2 0 1 2 2 2 2 2 0 2 1 2 0 1 0 1 0 2 0 2 2 0 0 2 
50, 20, 4, 99116.5940, 1200.5536, 1, 0 1 2 2 3 0 3 1 3 2 1 0 1 3 1 0 2 2 0 3 0 1 2 1 3 3 1 0 3 0 1 2 2 3 2 3 2 2 1 2 0 3 0 1 1 3 0 1 3 0 
100, 10, 3, 22045.4610, 1200.8159, 1, 0 1 2 0 1 2 0 1 1 2 0 0 0 1 0 1 2 2 2 0 1 1 1 2 1 1 2 0 0 2 2 1 1 1 1 2 2 1 2 2 0 1 1 2 0 2 0 0 2 0 1 2 1 1 2 2 2 0 2 2 0 2 1 0 1 2 1 0 0 1 1 0 0 0 1 1 1 0 0 2 0 2 2 0 0 1 0 0 1 0 2 1 2 0 2 2 0 0 2 1 
100, 10, 4, 24519.3300, 1200.0895, 1, 0 1 2 0 2 2 0 3 3 2 1 1 3 3 2 0 1 0 1 2 0 3 1 1 0 2 2 1 3 2 2 2 3 1 3 3 3 3 1 2 1 0 0 3 3 3 1 2 0 1 2 1 3 0 3 1 2 1 1 0 3 2 0 1 0 1 2 0 2 2 2 3 1 0 2 3 1 0 0 1 3 0 3 3 0 0 0 0 2 1 2 0 3 3 0 1 2 1 1 2 
100, 15, 3, 50683.2970, 1200.8705, 1, 0 1 2 2 2 1 1 1 0 0 2 0 1 2 1 0 0 2 0 2 1 0 1 2 1 0 1 0 0 1 2 2 2 0 0 1 0 2 0 2 0 2 1 1 1 2 0 1 1 0 0 2 2 2 1 0 1 0 0 1 2 0 0 0 0 2 1 1 0 1 2 2 2 1 0 1 0 1 2 0 2 0 2 1 2 0 2 1 0 0 1 1 2 1 2 1 1 2 2 2 
100, 15, 4, 62181.7600, 1200.8302, 1, 0 1 1 1 2 0 1 2 3 1 0 3 3 1 2 2 3 2 2 3 2 2 1 2 1 0 1 0 3 2 0 0 1 3 3 1 3 0 3 0 1 3 2 0 0 3 0 1 0 1 0 0 3 2 1 2 3 0 0 2 0 3 0 0 3 1 3 2 1 1 3 1 3 2 3 2 0 0 2 1 0 2 3 2 1 1 3 3 1 2 0 0 2 2 3 1 3 2 1 2 
100, 20, 3, 71090.6700, 1200.3226, 1, 0 1 1 1 0 0 2 1 0 2 1 0 2 0 1 1 0 0 1 1 1 1 1 0 1 0 2 2 2 2 1 2 2 2 2 2 2 2 0 0 1 1 1 1 2 0 0 2 0 2 2 0 2 2 1 1 2 1 2 2 0 0 0 0 0 0 2 2 1 1 0 2 1 1 0 2 0 2 0 1 0 2 0 1 1 1 2 2 2 1 0 1 1 0 0 1 0 2 0 2 
100, 20, 4, 79939.7140, 1200.2135, 1, 0 1 2 0 0 2 2 1 0 2 3 2 1 2 3 3 1 3 1 0 2 0 3 1 3 2 3 3 0 0 2 0 3 3 1 3 0 3 0 1 1 3 1 3 2 2 1 0 1 2 2 0 0 2 2 3 0 1 0 3 1 0 1 2 2 1 2 0 3 2 0 1 1 3 3 3 1 2 3 0 0 0 1 2 0 0 2 1 1 3 1 0 0 1 3 3 2 1 2 2 
