n, m, k, value, time, valid, solution
500, 10, 2, 12920.0190, 600.2547, 1, 0 0 1 0 1 0 0 0 0 0 1 0 1 0 1 0 1 0 1 1 1 0 0 0 1 1 0 1 0 0 1 1 0 1 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 1 1 0 0 0 1 0 0 1 1 1 1 0 0 0 1 1 1 0 0 1 1 0 1 0 0 1 1 1 0 1 0 1 0 0 1 1 0 0 0 0 1 1 0 0 0 1 0 0 0 1 1 0 1 1 0 1 1 0 0 0 1 1 1 0 1 1 1 0 0 0 0 1 1 0 1 1 0 1 0 1 0 0 0 0 0 0 0 1 1 0 0 1 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 1 0 0 0 0 0 1 1 0 1 1 1 1 0 0 1 0 1 1 0 1 1 0 1 1 1 1 0 0 0 1 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 1 0 1 1 1 0 1 1 0 0 1 1 0 1 0 0 1 1 0 1 0 0 0 0 1 0 0 0 1 1 1 1 1 0 0 1 0 0 1 0 0 1 0 0 0 1 1 1 0 0 1 1 1 1 0 1 0 1 0 0 1 0 1 1 1 0 0 1 0 1 0 0 1 0 1 1 1 0 0 0 0 1 0 0 1 1 0 0 1 0 1 1 0 1 1 0 1 0 0 1 0 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 0 0 0 1 1 0 0 1 0 1 0 1 0 0 0 1 0 1 0 1 0 0 1 1 1 1 0 0 1 1 1 1 0 1 0 1 1 1 1 0 0 1 0 0 1 1 0 1 0 0 0 0 0 1 1 0 0 1 1 1 1 1 0 1 1 1 1 0 0 1 1 1 1 1 1 0 0 0 0 1 1 1 1 1 0 0 1 1 0 0 0 0 1 1 0 0 0 0 1 0 0 1 0 1 0 1 1 0 0 1 0 0 1 0 1 0 1 0 1 0 1 1 1 0 0 1 0 1 0 0 0 1 0 1 1 0 0 1 1 0 1 0 0 1 0 0 0 0 1 
500, 20, 2, 44457.0790, 600.3393, 1, 0 0 0 0 1 1 0 0 1 0 0 0 0 1 1 0 0 0 0 1 0 0 0 1 1 0 0 0 0 1 1 1 0 1 1 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 1 1 1 0 0 1 1 0 1 1 1 0 1 0 1 0 0 1 0 0 0 1 0 1 0 0 0 1 0 1 0 0 1 1 1 0 1 1 0 1 0 0 1 0 0 0 0 0 1 0 0 1 1 1 1 1 1 1 1 1 1 0 0 0 0 1 1 0 1 1 1 0 0 1 0 0 1 0 1 0 0 0 1 0 0 1 1 1 1 0 0 1 1 1 0 1 0 0 1 0 0 1 0 0 0 1 1 1 1 1 0 0 0 0 0 1 1 1 1 1 0 0 0 1 0 0 0 1 1 0 1 1 0 0 0 1 1 1 1 1 0 0 1 1 1 1 1 0 0 0 1 0 0 0 1 0 1 1 0 0 1 0 1 0 0 0 1 1 1 0 1 0 1 0 0 1 0 0 1 1 1 0 1 1 0 1 1 0 1 0 0 0 0 0 0 1 0 1 0 1 1 0 1 1 1 1 1 1 1 1 0 1 0 0 0 1 0 0 1 1 1 1 1 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 1 1 1 0 0 0 0 1 0 1 0 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 0 0 0 1 1 1 0 1 1 1 1 1 0 0 0 0 1 0 0 0 1 1 0 0 1 1 1 1 1 0 1 1 0 0 1 0 1 0 0 1 0 1 1 1 1 1 1 1 1 0 1 0 1 1 1 0 1 1 0 1 0 1 1 1 1 0 1 1 1 1 0 0 1 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 1 1 1 0 1 0 1 0 1 0 0 0 0 0 0 1 1 1 1 0 0 0 0 1 1 0 0 1 1 1 1 0 1 1 0 1 1 1 0 0 0 1 1 0 1 1 1 0 0 0 1 1 0 0 1 1 1 0 1 1 0 0 1 0 1 0 1 0 0 0 0 1 1 0 1 1 0 1 0 1 0 
50, 2, 3, 3.9150, 1200.1909, 1, 0 1 2 1 2 0 0 0 1 1 0 2 0 0 0 1 0 0 0 2 1 2 2 2 1 1 1 0 2 2 2 0 2 0 1 1 2 0 2 2 1 2 1 2 1 1 1 0 2 1 
50, 3, 3, 280.7730, 1200.0110, 1, 0 1 2 2 0 1 2 0 0 1 2 1 1 0 1 0 1 0 0 2 0 1 1 2 1 2 2 2 1 2 0 0 0 0 1 1 1 2 0 2 2 0 0 0 2 2 2 0 2 1 
50, 4, 3, 938.8940, 1200.0378, 1, 0 1 1 2 1 2 0 0 1 0 0 0 2 2 2 2 0 1 1 1 1 2 1 0 0 2 0 1 0 0 1 1 2 1 2 2 2 0 0 2 1 1 2 2 0 1 0 0 0 0 
50, 5, 3, 3698.8460, 1200.7813, 1, 0 0 0 1 0 1 2 2 0 2 0 2 1 2 2 0 1 0 0 0 2 2 2 0 2 0 2 1 1 0 1 1 2 2 2 0 0 2 1 1 1 0 1 0 2 1 1 1 2 2 
50, 10, 3, 23011.7430, 1200.6967, 1, 0 1 2 0 2 1 2 2 2 2 0 0 0 0 2 1 1 1 0 1 0 1 2 2 2 2 0 0 2 0 1 0 2 2 2 1 1 0 1 2 1 1 0 0 0 1 1 2 1 0 
50, 15, 3, 44993.0170, 1200.2650, 1, 0 1 2 2 1 0 1 0 2 2 2 1 1 1 1 0 1 2 0 0 1 0 0 2 2 0 2 2 1 1 2 0 1 1 2 1 1 0 2 2 0 0 1 0 0 0 2 2 2 0 
50, 20, 3, 76747.9950, 1200.2863, 1, 0 0 1 2 0 2 2 1 2 2 1 0 2 0 2 1 1 1 1 2 1 0 2 0 2 2 0 0 2 0 0 0 1 0 2 1 2 1 1 1 1 1 0 1 2 0 0 2 2 0 
100, 2, 3, 20.9290, 1200.6307, 1, 0 1 0 2 0 0 0 1 1 2 1 1 0 2 2 2 1 0 1 0 0 2 2 1 2 1 0 1 1 0 1 1 1 1 1 1 1 1 2 1 2 2 1 1 1 2 1 0 2 1 2 2 1 2 0 2 1 1 0 0 2 0 0 1 1 2 0 0 1 0 2 1 0 0 0 2 0 2 0 1 1 2 2 1 0 0 0 2 2 2 2 2 0 0 0 0 2 2 0 1 
100, 3, 3, 356.4950, 1200.5829, 1, 0 1 0 1 2 2 0 2 1 0 0 2 1 0 1 1 0 0 2 0 1 1 2 2 0 0 2 1 2 2 2 1 2 1 1 2 0 0 2 2 2 2 1 1 1 2 1 2 0 0 0 0 2 2 1 0 1 0 2 1 0 0 1 0 2 2 0 2 0 0 2 1 1 0 1 0 2 0 2 2 1 2 2 0 2 1 0 0 1 1 1 0 1 0 1 2 0 2 1 0 
100, 4, 3, 1016.8020, 1200.7908, 1, 0 0 1 0 0 0 2 0 0 2 1 2 0 2 2 0 0 1 2 2 2 0 2 1 1 0 0 2 1 2 2 0 2 1 2 2 0 0 1 2 0 1 0 1 0 1 0 0 1 2 1 2 2 2 2 0 1 0 1 1 1 1 2 2 0 0 1 2 2 2 0 2 2 0 1 0 2 1 1 2 1 1 2 0 1 0 1 1 1 2 1 1 1 0 1 2 1 1 0 2 
