n, m, k, value, time, valid, solution
100, 5, 3, 2761.3320, 1200.9662, 1, 0 0 0 0 1 1 1 1 0 2 2 2 1 2 1 0 2 1 1 0 0 1 0 2 2 0 0 2 1 2 1 0 0 1 0 2 1 2 0 1 1 1 0 2 0 1 2 1 2 0 1 1 1 2 2 2 1 0 1 0 0 1 1 2 2 2 0 1 2 2 2 1 1 1 2 2 2 2 2 0 0 2 0 0 1 1 0 0 2 0 0 0 2 1 0 1 0 0 2 1 
100, 10, 3, 26076.4110, 1200.1443, 1, 0 0 0 0 1 0 0 2 2 0 2 1 2 1 2 2 2 2 2 1 2 0 0 0 0 2 1 1 1 0 0 0 1 1 1 1 1 0 1 2 1 2 1 1 2 1 0 1 2 1 1 2 2 0 2 0 1 0 2 1 0 0 0 0 1 0 2 2 1 1 2 0 1 1 2 0 1 0 0 1 0 2 2 2 0 2 2 0 1 0 2 1 0 2 1 1 2 2 0 2 
100, 15, 3, 46702.0010, 1200.3165, 1, 0 1 0 1 2 0 0 0 0 0 1 0 0 2 1 1 1 2 1 2 1 0 2 0 2 0 1 1 1 0 1 0 1 1 0 2 1 0 0 2 2 2 2 0 1 1 0 2 1 0 1 0 2 2 0 2 1 1 0 2 2 2 1 2 2 1 1 0 2 2 1 2 0 1 1 1 0 2 0 1 1 0 0 0 2 1 2 1 2 2 2 1 2 2 0 0 0 2 2 0 
100, 20, 3, 70720.9710, 1200.6666, 1, 0 1 1 2 0 2 0 0 0 1 2 2 1 0 2 2 1 2 1 2 1 2 1 2 0 2 0 0 2 2 0 2 0 1 2 0 1 2 1 1 2 1 2 0 1 1 1 1 1 0 1 2 0 1 0 1 2 0 1 0 2 0 2 0 2 0 1 1 2 0 1 2 0 2 1 2 0 1 1 2 0 1 0 0 1 2 2 1 0 2 1 0 2 2 0 1 0 1 0 0 
50, 2, 4, 130.6980, 1200.4147, 1, 0 0 0 1 2 0 3 3 2 2 2 2 0 2 3 0 3 2 1 1 3 1 3 3 0 3 2 1 3 0 2 2 1 0 1 3 1 2 2 3 0 1 0 1 0 2 1 0 0 1 
50, 3, 4, 1181.9120, 1200.5761, 1, 0 1 2 3 2 1 0 3 2 3 0 3 2 3 0 2 2 1 0 0 1 1 3 2 3 0 0 1 1 1 2 0 1 2 3 3 3 3 2 1 0 2 1 1 2 2 3 3 1 0 
50, 4, 4, 4660.5120, 1200.5536, 1, 0 1 0 2 3 3 3 3 0 1 1 0 0 1 0 0 2 3 2 0 2 2 1 3 2 1 3 0 3 3 1 1 1 1 2 3 3 0 1 2 2 2 0 2 1 3 1 0 2 1 
50, 5, 4, 12191.4900, 1200.7753, 1, 0 1 2 1 0 2 2 1 1 3 3 2 2 1 0 0 1 3 3 1 1 2 1 0 3 2 1 3 3 0 0 2 0 3 0 1 3 0 2 3 2 2 1 1 0 2 0 3 3 3 
50, 10, 4, 45191.7160, 1200.7226, 1, 0 1 1 2 2 1 1 0 0 2 2 0 3 3 2 2 0 1 3 3 3 1 3 0 0 3 1 3 3 3 3 2 1 2 0 1 0 3 2 1 1 3 0 0 1 2 0 2 2 0 
50, 15, 4, 79313.5670, 1200.0488, 1, 0 1 2 2 3 3 1 3 2 2 0 0 2 1 3 2 3 1 1 1 3 0 2 0 3 0 2 1 0 3 3 2 3 1 0 3 1 0 2 3 1 1 2 0 3 2 0 1 0 2 
50, 20, 4, 99795.4280, 1200.2931, 1, 0 1 2 0 0 0 3 3 1 2 0 3 2 2 0 3 1 0 3 2 3 0 0 3 1 1 3 0 3 2 2 2 2 1 1 2 1 0 1 3 2 1 3 1 2 3 1 0 1 2 
100, 2, 4, 15.5600, 1200.2354, 1, 0 1 2 3 2 1 1 2 1 3 1 0 3 1 3 1 2 0 3 1 0 0 3 1 2 0 2 0 3 1 0 0 0 0 3 1 2 2 1 2 1 1 1 3 2 2 3 0 2 0 3 2 2 1 2 3 2 0 0 2 3 3 3 2 2 3 3 1 1 1 3 1 0 2 3 2 0 1 0 3 2 2 2 1 3 1 0 0 1 2 1 0 2 3 1 2 0 2 0 1 
100, 3, 4, 421.9140, 1200.1369, 1, 0 1 1 0 2 1 1 1 2 2 2 1 3 1 1 0 2 1 1 0 3 3 3 3 1 1 2 0 3 3 1 2 2 0 2 1 3 2 2 2 2 0 3 0 1 0 0 0 3 2 3 1 0 1 2 1 0 1 0 1 0 1 0 2 2 3 3 2 3 1 0 0 0 2 0 2 2 3 3 3 0 3 2 2 2 3 2 3 0 3 0 1 0 1 0 3 2 3 0 3 
100, 4, 4, 1767.4190, 1200.8312, 1, 0 1 2 2 1 2 1 2 1 0 2 1 3 0 2 1 3 0 1 3 1 3 3 0 0 0 1 2 0 1 3 1 2 2 3 3 2 0 0 0 2 1 2 3 2 2 0 1 2 0 0 0 3 0 3 3 2 2 1 3 2 1 1 2 3 2 1 1 1 2 0 1 0 1 0 0 2 1 0 2 3 1 1 2 3 3 3 0 0 3 1 2 2 2 0 1 3 3 3 1 
100, 5, 4, 5030.1840, 1200.5656, 1, 0 0 0 0 1 1 0 2 0 0 1 0 2 2 2 3 3 3 1 1 2 1 3 2 3 0 0 0 2 3 1 3 3 3 2 1 0 3 2 3 1 2 0 1 3 2 1 3 2 3 1 3 2 3 1 3 0 3 0 1 0 1 0 1 2 0 3 2 1 3 0 3 2 2 0 3 2 0 2 1 3 3 3 1 1 2 0 1 1 1 0 3 2 1 2 3 1 1 2 0 
100, 10, 4, 28047.4740, 1200.2667, 1, 0 1 1 2 1 0 3 2 3 1 2 0 3 0 2 0 2 3 1 2 0 3 0 0 1 1 3 3 3 1 1 2 2 2 3 2 0 0 0 1 2 1 0 2 2 3 1 1 2 3 1 1 0 2 0 3 1 3 2 0 2 1 0 3 3 0 2 1 2 3 2 1 0 3 2 3 1 3 2 1 2 0 1 0 0 3 3 1 3 0 0 3 3 1 0 2 2 0 1 0 
100, 15, 4, 62321.4930, 1200.4502, 1, 0 1 1 2 2 0 1 2 3 1 3 0 3 3 2 1 0 2 2 2 3 0 3 3 0 1 0 3 3 3 1 1 1 0 1 3 1 1 2 2 3 1 2 0 0 0 0 1 3 3 0 0 2 3 1 3 2 3 1 1 3 3 2 1 2 1 2 1 3 0 2 2 3 3 1 0 1 0 2 0 0 2 2 0 0 3 3 0 1 2 3 0 1 1 2 2 2 0 0 0 
100, 20, 4, 87590.0120, 1200.5538, 1, 0 1 2 0 0 0 2 1 2 0 2 1 0 0 1 3 1 0 2 2 3 3 1 0 3 2 3 3 3 3 0 1 2 3 0 2 2 3 0 0 3 2 0 1 3 1 3 3 1 0 3 2 3 3 1 1 1 0 3 0 2 2 3 2 1 3 1 1 3 3 0 2 2 2 3 0 1 2 1 1 1 0 1 1 2 1 0 2 0 2 1 1 2 0 2 0 2 0 3 3 
50, 2, 5, 579.7480, 1800.1902, 1, 0 1 0 1 1 0 2 3 0 1 0 2 3 3 2 4 4 2 3 0 4 2 0 3 3 3 4 4 4 0 0 0 1 3 1 2 4 2 4 4 3 2 4 2 1 0 1 1 0 3 
50, 5, 5, 16288.0290, 1800.0836, 1, 0 1 2 2 0 3 2 4 1 4 0 4 1 4 3 3 2 3 0 4 0 1 1 1 4 3 3 4 3 1 1 3 0 3 2 4 2 1 2 0 0 2 3 4 4 1 0 0 2 1 
50, 10, 5, 54738.9870, 1800.8405, 1, 0 1 2 3 0 3 3 0 0 1 3 0 4 2 4 4 2 2 1 3 3 4 3 4 2 0 0 2 2 3 1 3 1 4 0 1 2 4 0 4 1 2 0 4 2 1 1 1 3 4 
50, 20, 5, 102518.9010, 1800.6939, 1, 0 1 2 3 0 2 2 0 3 4 0 0 2 1 0 3 1 4 4 4 2 2 2 1 3 3 3 2 1 4 0 1 0 3 4 0 4 2 3 4 1 1 3 4 0 1 1 2 3 4 
100, 2, 5, 24.0920, 1800.4792, 1, 0 1 2 1 1 1 3 2 0 1 3 3 3 2 1 4 1 4 0 0 0 0 4 2 0 2 0 0 1 2 4 3 4 4 2 0 2 1 2 2 4 4 2 3 0 0 1 2 2 3 4 4 3 4 3 3 1 4 3 1 3 1 4 0 0 3 0 0 3 1 3 1 4 4 4 3 4 3 1 2 0 2 1 0 2 4 1 2 4 4 3 1 2 0 2 2 4 2 0 1 
100, 5, 5, 5276.6570, 1800.9542, 1, 0 1 1 2 2 1 3 4 1 1 2 2 3 4 2 4 2 1 2 1 4 2 0 4 4 4 2 0 0 0 1 1 2 2 4 2 2 3 4 3 2 4 4 1 1 1 3 1 4 3 3 0 3 1 0 3 0 3 0 0 4 0 1 4 1 3 0 2 1 3 4 3 2 3 4 0 0 0 1 1 2 0 3 4 2 4 0 2 2 4 0 4 4 0 0 4 3 1 3 3 
