n, m, k, value, time, valid, solution
500, 10, 2, 19444.7920, 600.9117, 1, 0 1 0 1 1 1 1 0 1 0 1 1 1 0 1 1 0 0 1 0 0 0 1 0 0 1 1 0 0 1 1 1 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 1 1 1 0 0 0 0 1 0 1 1 0 0 0 0 1 1 1 1 0 0 1 0 0 1 1 0 1 1 0 0 0 1 0 0 1 0 1 1 0 0 1 0 0 0 1 0 1 0 1 1 1 0 0 0 0 1 0 0 1 1 0 1 0 0 1 0 1 1 0 0 0 0 0 1 1 1 0 0 1 0 1 1 0 1 0 1 0 1 1 1 0 0 1 1 0 0 0 0 1 0 0 1 1 1 0 0 1 1 1 0 0 1 0 1 0 0 0 1 1 0 1 0 0 0 1 1 0 1 0 0 0 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 0 0 1 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 1 0 1 1 0 1 1 0 0 0 1 0 1 1 1 1 1 1 1 1 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 1 1 1 0 0 1 1 0 1 0 1 0 1 1 1 1 1 1 0 0 0 0 0 1 0 1 0 0 1 0 0 1 1 0 0 0 1 1 0 1 0 1 1 1 0 0 1 0 1 1 1 0 0 1 1 0 0 1 1 0 1 1 0 1 0 1 0 1 0 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 1 1 0 1 1 0 1 0 0 0 0 1 0 0 0 0 0 1 1 0 1 0 1 0 1 1 1 0 0 0 1 0 1 0 1 1 1 1 1 1 0 1 0 1 0 1 0 1 1 0 1 0 0 1 1 0 0 0 1 1 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 1 0 0 1 0 1 0 1 0 1 1 0 1 1 0 0 1 1 0 0 1 0 1 0 1 0 1 1 0 1 0 0 1 1 
500, 20, 2, 44842.6380, 600.6559, 1, 0 1 0 1 0 1 0 1 0 1 1 0 0 0 0 0 1 1 1 1 0 1 1 1 0 0 0 1 0 1 0 0 0 0 1 1 1 1 0 1 1 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 1 0 1 1 1 1 1 1 1 0 1 0 1 0 0 1 1 1 0 1 1 0 0 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 0 1 0 0 1 1 1 0 1 0 0 1 1 0 0 0 0 1 1 0 1 0 1 0 1 0 0 1 0 0 1 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1 1 1 0 1 1 0 0 0 1 1 1 1 1 0 0 0 1 0 0 0 1 0 1 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 1 1 0 1 1 1 1 0 0 0 1 0 0 0 1 0 1 1 1 0 1 0 1 0 1 0 0 0 0 0 0 1 0 1 1 1 1 1 1 0 0 1 0 0 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 0 0 1 0 0 0 1 0 1 1 0 0 1 1 1 1 1 1 1 0 1 0 1 1 0 1 0 1 1 1 0 1 0 1 0 1 1 1 0 0 0 0 1 0 1 1 1 1 0 1 1 1 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 1 1 0 1 1 0 0 1 1 1 0 0 0 1 0 1 0 0 0 0 1 1 0 1 0 0 1 1 1 0 0 0 1 1 0 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 0 0 1 1 0 0 0 0 1 1 1 1 1 1 0 1 1 0 1 0 1 0 1 0 0 0 0 1 1 1 0 0 0 1 0 1 1 1 0 1 1 1 0 0 1 1 0 1 1 0 1 1 0 0 1 0 0 1 1 0 1 0 0 1 1 1 1 0 1 1 1 1 0 1 1 1 0 0 1 1 0 1 0 0 1 1 1 1 1 1 0 1 0 0 0 
50, 2, 3, 10.8830, 1200.6581, 1, 0 1 2 0 1 2 2 2 1 0 2 1 2 1 2 2 2 0 2 1 1 0 0 2 1 2 1 2 1 0 0 0 0 0 0 1 1 1 0 1 2 2 1 1 0 0 1 2 0 1 
50, 3, 3, 193.8690, 1200.4665, 1, 0 0 0 1 2 0 0 2 2 1 1 2 2 0 0 0 2 0 1 2 1 2 0 0 2 2 1 2 1 1 1 2 2 0 0 2 0 1 0 0 0 2 1 0 1 2 1 1 1 1 
50, 4, 3, 1599.8260, 1200.6922, 1, 0 0 0 1 1 0 2 0 1 0 1 1 0 2 2 2 1 2 0 2 2 1 0 1 1 0 0 2 1 2 2 1 1 2 0 0 1 2 2 0 2 1 1 0 0 2 1 2 2 1 
50, 5, 3, 4140.9650, 1200.1658, 1, 0 1 1 1 0 2 2 2 1 2 1 2 0 2 2 1 1 1 0 1 0 0 0 2 2 1 0 0 0 1 1 2 0 2 2 0 1 1 0 2 1 2 0 0 1 2 2 0 2 2 
50, 10, 3, 28107.7460, 1200.3604, 1, 0 1 2 1 2 0 2 0 1 2 0 2 0 1 1 2 0 0 0 0 0 1 0 2 1 2 2 2 1 0 2 2 2 2 2 0 2 1 1 0 1 1 2 2 1 1 1 1 0 0 
50, 15, 3, 53570.0580, 1200.9890, 1, 0 0 1 2 0 0 2 0 2 1 0 1 2 0 2 1 2 0 1 2 2 2 0 1 1 1 0 2 2 0 1 1 1 0 1 1 1 0 2 2 2 1 0 0 0 1 0 2 2 1 
50, 20, 3, 81458.6230, 1200.8170, 1, 0 1 1 0 1 0 0 2 0 2 2 1 2 1 0 2 0 0 1 0 2 1 1 2 0 2 1 0 0 0 1 2 0 0 1 1 2 1 2 2 1 2 0 2 0 1 1 2 2 2 
100, 2, 3, 7.0600, 1200.1275, 1, 0 1 2 2 0 1 1 0 2 1 2 1 1 1 0 1 2 1 2 1 0 2 0 0 1 1 0 2 0 1 1 1 2 2 2 2 1 0 0 1 2 2 1 1 0 0 2 1 1 1 0 2 2 2 0 2 2 1 2 0 2 2 2 1 0 0 0 2 0 2 2 0 1 0 0 0 2 1 2 1 0 2 1 1 2 2 2 1 0 1 1 2 2 1 0 2 1 1 0 1 
