n, m, k, value, time, valid, solution
50, 2, 2, 6.1390, 600.0019, 1, 0 0 1 0 0 0 1 0 0 0 0 1 1 0 0 1 1 0 0 1 0 0 0 1 1 1 0 1 1 1 1 1 1 0 0 0 1 1 1 1 1 0 0 0 1 0 1 0 1 1 
50, 5, 2, 3382.4430, 600.1902, 1, 0 1 0 0 1 0 1 1 1 0 0 1 0 0 0 0 1 1 1 1 1 1 1 0 1 1 1 0 0 1 0 1 0 1 0 1 0 1 0 0 1 1 1 1 0 0 1 0 1 0 
50, 10, 2, 20780.9790, 600.4217, 1, 0 1 0 1 1 1 0 0 0 1 0 0 1 0 0 1 1 0 1 0 1 0 0 1 0 0 0 1 1 0 1 0 0 1 1 0 1 0 1 1 0 0 0 1 1 1 1 1 1 1 
50, 20, 2, 56677.5610, 600.5183, 1, 0 0 1 0 1 0 1 0 1 0 1 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0 1 1 1 1 0 1 1 1 1 0 1 0 1 0 1 0 1 1 1 0 
100, 2, 2, 5.3430, 600.8016, 1, 0 0 1 1 1 1 0 1 1 0 0 1 0 1 0 1 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 1 1 1 1 0 0 0 1 0 0 0 0 1 1 0 1 0 0 1 0 1 1 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 1 0 0 1 0 1 0 0 1 1 1 1 1 1 0 1 0 1 0 0 0 1 1 0 
100, 5, 2, 2080.6780, 600.2861, 1, 0 0 1 0 1 1 1 0 0 1 1 1 1 0 1 1 0 1 0 0 1 1 0 0 1 1 0 1 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 1 1 0 1 1 0 1 0 1 1 1 0 0 0 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1 0 0 1 1 0 0 1 0 
100, 10, 2, 18999.5450, 600.8809, 1, 0 1 1 1 0 0 1 1 1 0 1 0 0 0 1 0 1 1 1 1 1 1 0 0 0 1 0 1 0 1 1 0 0 1 1 1 0 1 1 0 0 1 0 0 1 1 1 0 0 1 0 1 0 0 1 0 0 1 0 1 0 1 0 0 1 0 1 1 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 1 1 0 0 
100, 20, 2, 55090.6080, 600.3904, 1, 0 0 1 0 0 1 1 1 1 1 1 0 0 0 1 1 1 1 0 0 0 0 1 1 1 1 1 1 1 0 1 1 1 0 0 0 1 1 0 1 1 1 0 1 1 0 1 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 1 1 0 0 1 0 0 0 1 1 0 1 1 1 0 0 0 1 0 1 1 0 1 1 0 1 1 1 1 0 0 1 0 0 0 0 
50, 2, 3, 8.3310, 1200.0874, 1, 0 1 2 1 0 1 2 0 2 2 1 1 1 1 2 0 2 2 2 1 0 1 2 2 2 2 0 0 0 0 2 2 0 1 0 1 2 0 1 2 1 0 1 0 1 2 0 1 2 0 
50, 2, 4, 58.6750, 1200.8443, 1, 0 1 0 1 0 1 2 1 3 3 3 2 0 3 1 2 1 3 2 0 0 0 3 3 0 1 0 3 2 2 0 0 3 1 2 3 3 2 1 1 0 2 2 1 3 0 2 0 2 1 
50, 3, 3, 266.7690, 1200.4668, 1, 0 0 1 2 1 0 2 0 1 1 2 0 2 1 2 2 1 2 1 0 1 0 1 0 2 0 0 2 0 0 2 1 1 0 1 2 1 0 1 1 1 2 0 1 2 2 1 2 0 2 
50, 3, 4, 1748.3470, 1200.1468, 1, 0 1 2 0 3 2 2 2 3 0 3 0 1 1 1 2 2 3 0 1 3 2 3 0 3 1 3 3 0 1 1 0 3 2 2 2 1 1 0 0 3 3 0 1 3 1 2 0 3 1 
