n, m, k, value, time, valid, solution
50, 2, 2, 2.9000, 600.0369, 1, 0 0 1 1 1 0 0 1 1 1 1 0 0 0 1 1 0 1 0 1 1 0 1 1 0 1 1 1 1 0 0 0 0 1 1 1 1 1 1 0 1 0 0 0 0 0 0 0 1 0 
50, 5, 2, 923.1120, 600.5193, 1, 0 0 1 1 0 1 0 0 0 1 1 0 1 1 1 1 0 0 0 0 1 0 1 1 0 1 0 1 0 0 0 0 1 0 0 1 1 1 0 1 1 0 1 1 0 0 1 0 0 0 
50, 10, 2, 16179.6280, 600.3139, 1, 0 0 1 1 0 1 1 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 1 0 1 1 1 0 1 1 0 1 1 1 1 0 0 1 0 1 0 0 1 1 1 0 1 1 0 1 
50, 20, 2, 56534.2860, 600.4703, 1, 0 0 1 0 1 1 1 1 1 0 1 1 1 1 1 0 0 1 1 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 0 1 1 1 1 0 1 0 
100, 2, 2, 14.2450, 600.9625, 1, 0 1 0 1 0 1 0 0 1 0 0 1 1 0 1 1 0 1 1 1 1 1 1 0 0 1 0 1 0 0 1 0 0 0 0 1 1 0 0 1 1 1 0 0 1 0 1 1 0 0 0 0 0 1 1 1 0 1 1 0 1 1 1 1 0 0 0 0 1 1 1 0 0 0 0 1 0 0 1 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 
100, 5, 2, 3592.8390, 600.9704, 1, 0 1 0 1 0 0 1 0 0 0 0 0 0 1 1 0 1 1 1 0 0 0 0 1 1 0 1 1 0 1 0 1 1 0 1 0 1 1 0 1 1 0 1 0 1 1 0 0 1 1 1 1 0 0 1 1 0 0 1 1 1 0 0 0 1 0 0 1 1 0 1 0 1 0 1 1 0 0 1 0 0 0 1 1 1 1 0 1 0 0 0 0 0 1 1 1 1 1 0 1 
100, 10, 2, 17705.1750, 600.8698, 1, 0 0 1 0 0 0 1 0 1 1 0 1 1 1 1 0 0 1 1 0 0 1 0 1 1 0 0 0 1 0 0 1 0 1 0 0 1 0 1 0 1 1 0 0 1 1 0 0 0 1 0 0 1 0 0 1 1 0 0 1 0 0 0 0 1 1 0 0 0 1 1 1 1 1 1 1 0 1 0 1 1 1 0 1 1 0 1 0 1 0 1 0 0 1 0 1 1 1 1 0 
100, 20, 2, 50240.9510, 600.9211, 1, 0 1 1 0 1 1 0 1 0 0 1 0 0 1 1 0 0 1 0 1 0 1 1 0 1 0 1 0 0 1 0 0 1 1 1 1 0 0 0 1 1 1 1 0 1 1 1 1 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 1 1 1 0 0 1 1 0 1 0 1 1 1 1 0 0 0 0 1 1 1 1 0 1 
50, 2, 3, 7.5700, 1200.2571, 1, 0 0 1 2 2 0 2 0 0 1 0 2 0 1 2 1 1 1 1 0 2 2 0 0 2 1 1 2 0 1 2 1 2 2 2 2 1 1 1 1 1 1 0 0 0 2 0 0 1 1 
50, 2, 4, 130.0330, 1200.3308, 1, 0 1 0 1 2 0 2 1 1 2 1 1 3 1 0 0 2 1 0 0 1 3 1 2 2 1 2 0 2 2 3 1 3 3 2 3 2 0 3 2 0 3 3 0 1 3 3 2 0 0 
50, 3, 3, 281.4580, 1200.1809, 1, 0 1 1 2 0 2 0 0 0 2 1 2 1 0 2 1 2 1 0 2 1 1 2 0 1 2 0 2 1 1 2 2 1 2 1 1 2 2 1 0 2 0 0 1 1 0 0 2 0 0 
50, 3, 4, 1597.3040, 1200.1248, 1, 0 1 1 2 1 1 2 3 2 3 1 1 3 3 0 0 3 0 0 0 0 1 2 3 3 1 2 3 3 3 0 0 3 2 0 3 2 2 2 2 1 0 1 2 3 1 2 0 1 0 
50, 4, 3, 1754.2480, 1200.6003, 1, 0 1 2 1 1 0 2 1 1 2 1 2 1 2 2 2 2 1 1 0 0 0 0 1 0 1 0 0 2 0 0 1 0 1 2 2 2 0 0 1 1 2 2 0 0 0 1 0 1 2 
50, 4, 4, 5692.5630, 1200.4496, 1, 0 1 2 0 3 0 3 0 1 3 0 2 0 1 3 2 3 1 3 3 1 3 1 1 3 0 3 0 2 2 1 3 1 2 2 3 1 1 1 0 2 2 0 0 2 1 2 3 2 2 
50, 5, 3, 4846.7460, 1200.3648, 1, 0 1 0 0 1 1 2 2 0 1 0 0 1 1 2 1 0 1 2 2 0 2 2 2 2 0 2 1 0 0 0 1 1 2 2 1 2 0 2 1 1 2 0 2 1 2 1 0 2 0 
50, 5, 4, 9505.8170, 1200.4453, 1, 0 1 0 1 2 3 1 2 0 0 2 3 0 3 2 0 2 1 0 1 3 1 3 0 2 1 0 3 0 3 3 2 1 1 2 1 1 1 0 3 1 2 0 2 3 2 3 0 2 3 
50, 10, 3, 30464.0280, 1200.6943, 1, 0 1 2 2 1 0 1 0 1 2 2 0 1 2 0 1 2 2 2 0 2 0 1 2 1 0 2 1 1 0 1 1 0 2 1 0 2 2 1 0 0 2 0 2 1 1 0 0 1 2 
