n, m, k, value, time, valid, solution
50, 2, 3, 6.0450, 1200.5436, 1, 0 0 0 1 2 2 0 0 2 0 1 2 1 1 0 0 1 1 0 2 0 2 0 1 0 0 1 2 2 2 2 0 2 2 1 1 2 1 0 0 2 1 0 0 1 1 2 1 2 2 
50, 2, 4, 88.0870, 1200.7860, 1, 0 1 1 1 0 2 2 0 2 0 0 2 3 2 1 0 1 2 0 0 3 1 3 0 1 1 3 0 0 2 0 0 3 1 2 3 0 3 3 3 3 2 1 3 1 1 3 1 2 2 
50, 3, 3, 282.2990, 1200.3574, 1, 0 0 1 1 1 1 2 2 2 2 1 1 0 2 0 2 0 2 0 2 1 1 1 0 0 2 2 0 1 0 1 2 0 1 1 2 2 2 0 2 2 0 2 0 0 1 0 0 0 1 
50, 3, 4, 1331.1930, 1200.3946, 1, 0 0 0 1 2 2 0 1 1 2 3 0 0 0 1 1 3 3 2 0 3 2 0 2 0 2 3 0 2 3 1 1 0 3 3 2 3 3 1 3 1 2 1 1 0 3 2 1 1 2 
100, 2, 3, 25.3750, 1200.8730, 1, 0 0 1 0 2 0 1 2 0 2 1 1 0 0 0 1 1 2 0 2 0 2 2 2 2 0 2 2 2 1 2 2 1 0 1 0 2 2 0 2 1 1 1 2 0 0 0 0 1 0 1 0 0 0 1 2 0 1 1 0 2 0 1 1 1 2 2 0 2 0 1 0 0 2 0 2 0 1 1 1 1 2 1 2 1 2 1 2 1 0 1 1 0 0 2 2 1 2 2 0 
100, 2, 4, 24.0920, 1200.4742, 1, 0 1 1 0 0 2 0 2 0 3 0 1 2 0 3 2 0 1 3 1 0 3 0 2 1 3 0 2 2 0 2 2 0 3 2 3 1 1 1 3 2 1 1 0 2 2 2 1 1 0 3 0 3 1 1 1 1 1 3 0 0 3 0 0 0 2 1 0 3 1 2 0 3 3 3 3 1 2 2 2 3 3 2 1 1 1 1 2 3 1 0 0 0 3 3 2 0 1 3 2 
100, 3, 3, 351.9120, 1200.7461, 1, 0 1 0 1 1 1 1 1 2 1 0 1 2 2 1 2 1 1 0 1 1 0 2 0 1 2 2 1 0 1 2 1 2 2 0 2 2 2 1 2 0 0 1 0 0 2 2 1 0 0 2 1 0 0 0 2 2 1 0 2 0 1 1 0 0 2 0 0 2 2 1 1 1 1 2 0 2 2 0 0 0 1 0 2 0 0 1 1 1 2 0 0 2 2 1 1 0 1 2 0 
100, 3, 4, 374.6580, 1200.9408, 1, 0 1 0 0 0 2 1 2 0 1 2 1 2 1 1 3 3 3 1 2 0 3 1 1 1 3 2 0 2 0 1 0 1 1 3 3 1 2 2 2 0 0 3 1 3 1 2 2 1 0 0 0 2 2 1 0 0 0 1 1 2 0 2 3 1 3 1 2 3 0 2 3 0 1 3 3 3 2 2 3 3 0 3 2 1 1 0 2 1 2 3 1 0 0 2 3 1 3 3 3 
50, 2, 5, 598.2670, 1800.4901, 1, 0 1 2 2 3 3 3 4 4 4 0 2 0 1 4 1 2 0 3 2 0 4 1 3 3 1 0 0 4 1 2 4 0 4 1 1 0 3 4 0 3 2 4 2 3 3 1 3 1 2 
50, 2, 10, 5137.8870, 1800.1373, 1, 0 1 2 3 4 1 0 5 6 2 2 7 3 2 6 4 8 1 7 9 3 5 0 1 1 6 2 6 9 5 3 9 8 8 8 0 1 4 0 4 7 9 5 9 0 7 8 7 2 6 
