n, m, k, value, time, valid, solution
50, 2, 5, 278.0840, 1800.6432, 1, 0 1 0 2 3 4 3 3 2 0 1 3 4 0 1 0 1 4 1 2 1 1 0 4 4 2 3 2 3 0 3 0 0 2 4 1 3 4 2 0 2 2 3 1 4 4 2 3 4 3 
50, 2, 10, 5216.6930, 1800.2578, 1, 0 1 2 3 3 4 4 0 5 6 7 0 3 4 8 8 6 2 7 9 7 4 1 3 1 1 5 2 9 8 7 9 0 9 5 6 7 1 1 9 9 5 6 7 6 2 0 8 1 8 
50, 5, 5, 14113.1270, 1800.3588, 1, 0 1 1 2 2 3 2 0 4 3 4 1 0 0 1 3 2 3 1 1 3 4 4 1 4 3 0 0 0 0 2 2 1 4 4 3 0 3 4 0 3 1 2 1 1 2 4 2 4 3 
50, 5, 10, 36730.2330, 1800.0935, 1, 0 1 2 3 4 3 4 5 6 2 2 1 7 8 1 4 5 3 9 3 9 7 6 8 7 4 9 0 0 8 5 6 8 0 5 4 3 7 1 0 9 2 6 9 7 1 8 9 5 8 
50, 10, 5, 52212.2760, 1800.1271, 1, 0 1 0 2 1 3 2 2 4 1 4 1 1 3 2 0 1 0 3 2 4 0 3 1 2 4 4 3 0 2 4 0 0 1 4 2 0 3 3 4 1 0 2 4 3 3 3 4 2 1 
50, 10, 10, 71539.9910, 1800.7143, 1, 0 1 2 0 3 3 4 2 5 6 0 7 1 8 9 1 3 6 3 2 5 7 8 6 5 7 1 8 2 4 4 3 0 9 8 9 4 9 7 7 1 6 5 9 8 4 2 0 5 6 
50, 20, 5, 100406.8230, 1800.1546, 1, 0 1 2 3 1 3 2 4 2 1 1 1 4 4 2 0 4 3 3 4 3 0 0 2 2 1 3 4 1 4 0 3 0 2 4 1 0 0 2 2 4 1 3 2 4 0 3 3 0 1 
50, 20, 10, 111860.0060, 1800.7772, 1, 0 1 2 3 4 5 6 1 4 7 3 2 0 5 8 4 6 3 9 6 5 0 8 1 7 5 2 8 2 7 1 3 4 9 7 7 0 8 4 1 9 6 2 0 8 5 9 9 3 6 
100, 2, 5, 29.0680, 1800.5030, 1, 0 1 1 2 3 3 4 3 0 0 3 1 2 4 1 1 1 0 0 1 4 0 0 4 4 1 2 1 0 4 2 1 2 2 3 3 0 2 3 0 3 3 2 2 2 4 3 2 4 4 0 1 2 1 2 4 3 4 1 1 0 4 0 2 3 4 4 4 3 3 3 1 3 2 4 0 2 2 1 2 4 1 3 1 0 3 4 1 3 4 1 2 3 4 2 1 0 2 0 3 
100, 5, 5, 5003.8980, 1800.1608, 1, 0 1 2 3 1 2 3 3 2 3 1 1 2 3 0 0 4 3 1 2 1 0 4 0 3 1 1 1 1 2 2 2 3 3 2 0 4 0 4 3 0 2 4 1 0 0 3 4 2 3 4 0 1 1 2 2 3 1 4 4 2 0 3 0 4 3 4 1 3 2 4 4 1 1 4 2 0 4 0 0 1 3 0 2 1 4 3 2 4 0 4 4 2 0 3 4 1 3 0 1 
