n, m, k, value, time, valid, solution
500, 10, 2, 14211.7910, 600.4924, 1, 0 1 0 1 0 0 0 1 1 1 1 1 1 0 0 0 0 0 1 0 1 1 0 0 0 0 1 1 1 1 1 0 0 0 0 0 1 1 0 0 1 0 1 1 1 1 0 0 0 0 1 0 1 1 1 1 1 1 0 0 0 0 1 1 0 1 1 0 0 0 1 1 0 0 1 1 1 1 1 0 1 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 0 0 1 1 0 0 0 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 0 0 0 0 1 1 1 0 1 0 0 1 1 0 0 0 0 1 1 1 0 0 0 1 0 1 1 0 0 0 1 1 0 1 1 1 0 1 0 1 0 1 0 1 0 0 1 0 0 1 1 1 0 0 1 0 0 1 0 0 1 0 1 1 0 1 1 0 1 1 0 0 1 0 0 1 1 0 1 0 1 1 1 0 0 0 1 0 0 1 0 1 1 1 1 1 0 0 1 0 0 0 1 0 0 0 0 1 1 0 0 1 1 0 1 1 1 0 0 1 1 1 0 0 0 0 1 1 1 0 1 1 1 0 1 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 1 1 1 1 0 0 0 0 0 0 1 0 1 0 0 0 1 1 1 0 0 1 0 1 0 1 0 0 1 0 0 0 1 1 0 0 1 0 1 1 0 0 0 1 1 1 0 1 1 1 0 1 1 0 0 0 0 1 1 0 0 1 1 1 0 1 1 0 1 1 1 1 1 1 0 0 1 1 1 0 1 1 0 1 0 1 0 0 1 1 0 0 1 0 1 0 1 0 1 0 1 1 1 1 0 1 1 0 0 0 0 1 1 0 1 0 1 1 0 1 1 1 0 0 0 0 1 0 0 0 0 0 1 1 0 0 1 0 0 1 1 1 1 1 1 0 0 0 1 1 1 0 1 0 0 1 1 1 0 1 0 1 1 1 0 0 0 0 0 1 0 1 0 1 0 1 0 1 0 0 0 0 0 0 1 1 0 1 1 0 0 1 1 1 1 0 0 1 1 0 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 1 1 1 1 
500, 20, 2, 53111.1770, 600.5655, 1, 0 1 1 1 1 0 1 1 0 1 0 0 0 0 1 1 1 1 0 1 0 1 0 1 1 1 0 0 1 1 1 0 1 0 0 0 1 1 0 0 1 1 0 0 0 1 1 1 0 0 0 0 1 1 0 1 0 0 1 1 0 1 0 1 1 1 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 1 1 0 0 1 0 0 1 1 0 1 1 1 0 1 1 1 0 0 0 0 0 0 1 0 1 0 0 1 1 1 1 0 1 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 1 1 0 0 1 1 0 1 1 1 1 0 1 1 0 0 1 1 0 0 1 0 1 1 0 1 1 0 0 1 1 0 1 1 1 0 1 1 0 0 0 0 0 1 1 0 1 0 1 1 0 1 0 1 0 1 0 1 1 1 1 0 1 1 0 0 1 1 0 1 1 0 0 0 0 1 0 1 0 0 1 1 0 0 0 1 1 0 1 1 1 1 1 0 0 1 0 0 1 1 1 1 0 0 0 0 0 1 0 1 0 1 1 1 1 1 0 1 1 1 1 0 0 1 0 1 1 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 0 1 1 1 0 0 1 0 1 0 1 1 0 0 0 0 0 1 1 0 1 1 1 0 0 1 1 0 0 1 1 0 0 1 0 0 1 1 1 0 0 0 1 0 0 1 1 0 1 0 1 1 1 0 0 1 0 0 1 1 1 0 0 1 1 0 1 1 1 0 1 0 1 1 0 1 1 0 0 1 0 0 1 1 1 1 1 1 0 0 0 0 0 0 1 1 1 1 0 1 0 0 0 0 1 1 1 0 0 1 0 0 1 0 0 0 1 1 1 0 1 0 1 1 0 1 0 1 0 1 0 0 1 0 0 1 0 0 1 1 1 0 1 1 1 1 0 1 0 0 0 0 1 1 0 1 1 0 0 1 0 0 1 1 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 1 0 1 0 0 1 1 1 1 0 0 1 0 1 1 1 
50, 10, 3, 28797.3740, 1200.1305, 1, 0 1 0 1 2 2 0 1 2 0 2 2 2 2 2 0 2 1 1 0 0 0 0 1 0 0 2 2 1 1 1 2 2 1 0 2 1 0 2 1 0 1 0 2 1 1 1 1 0 0 
50, 10, 4, 40810.5650, 1200.8368, 1, 0 1 1 0 2 0 3 2 0 1 1 3 0 0 2 2 2 0 2 3 1 1 3 0 1 1 2 3 1 1 1 1 0 0 2 2 0 3 3 0 2 1 3 2 3 3 3 2 2 3 
50, 15, 3, 53428.6120, 1200.4498, 1, 0 1 1 0 0 2 0 1 2 0 1 0 0 2 1 1 2 2 0 0 0 1 0 1 2 0 2 2 0 2 1 0 1 0 2 2 0 1 2 0 2 1 1 1 1 2 2 2 2 1 
50, 15, 4, 74660.5680, 1200.5115, 1, 0 1 1 2 1 3 2 1 0 3 0 3 1 0 2 1 3 3 1 2 3 0 3 3 0 2 0 0 1 0 2 1 2 2 1 2 3 2 0 2 3 2 1 0 0 3 1 0 0 3 
50, 20, 3, 77113.7470, 1200.6183, 1, 0 0 1 1 2 1 2 1 2 0 1 0 2 0 1 1 2 1 2 2 1 0 2 1 1 0 0 1 2 0 0 0 2 2 0 2 1 2 2 2 1 1 2 0 0 0 0 0 0 1 
50, 20, 4, 94394.5780, 1200.5250, 1, 0 0 0 1 2 1 0 3 0 1 2 0 1 2 1 3 0 3 3 3 2 2 2 1 2 0 1 2 0 3 1 2 1 0 2 3 0 1 3 3 3 3 1 2 2 3 0 1 0 2 
100, 10, 3, 23344.2140, 1200.8135, 1, 0 0 1 1 2 0 1 1 2 2 1 2 2 0 2 1 0 1 0 2 0 0 0 0 0 1 1 2 2 0 0 2 0 0 0 1 0 1 2 0 2 1 1 1 2 1 1 1 1 1 0 1 2 2 2 2 2 0 1 1 2 1 2 2 0 0 0 0 1 0 1 1 1 0 2 2 1 2 2 0 2 2 2 1 1 0 2 1 0 2 0 1 2 0 2 1 0 1 0 2 
100, 10, 4, 31646.9740, 1200.7218, 1, 0 0 0 1 1 2 2 0 0 1 2 1 0 2 0 3 2 0 3 2 2 3 2 1 0 2 0 1 0 2 1 3 3 1 3 0 2 1 3 1 3 3 3 2 3 2 0 0 1 1 0 1 3 0 0 3 3 1 2 1 1 2 2 2 0 3 1 1 0 3 0 3 2 3 2 1 2 2 3 3 2 3 0 1 1 1 3 1 2 2 3 1 0 3 2 0 0 0 3 1 
