n, m, k, value, time, valid, solution
50, 2, 2, 2.0810, 600.7518, 1, 0 0 1 0 1 0 0 1 1 0 0 1 1 1 1 0 0 0 1 0 1 1 1 1 1 0 0 0 0 0 1 1 1 1 0 0 0 1 0 0 0 1 0 1 1 1 1 0 0 0 
50, 5, 2, 2519.3810, 600.0408, 1, 0 1 0 1 0 1 0 1 0 0 0 1 1 1 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 0 1 1 1 1 0 0 1 0 0 1 1 0 0 1 1 0 0 1 1 
50, 10, 2, 16176.5760, 600.9791, 1, 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 0 0 1 0 0 1 1 1 0 1 1 0 1 0 0 1 0 1 1 0 0 0 0 0 0 0 1 0 1 0 1 1 0 1 
50, 20, 2, 52826.3400, 600.6074, 1, 0 1 1 1 0 0 1 0 0 0 1 0 0 0 1 1 1 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 1 1 1 1 1 1 0 1 1 1 0 1 0 0 1 0 1 0 
100, 2, 2, 20.8370, 600.5470, 1, 0 0 1 0 0 0 0 0 1 1 1 0 1 1 0 1 0 1 0 1 1 1 1 1 0 0 0 1 0 1 1 1 1 1 1 0 1 0 1 0 1 0 1 1 1 0 1 0 0 0 1 0 1 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 1 1 0 0 0 0 1 1 0 1 1 0 1 1 1 1 1 0 0 0 0 0 1 0 1 1 
100, 5, 2, 2438.4350, 600.5660, 1, 0 1 1 1 0 1 1 1 0 1 0 0 0 0 1 0 1 1 0 1 1 1 0 0 0 0 0 0 1 1 1 0 0 0 0 1 1 0 0 1 1 1 1 0 0 0 0 1 0 1 0 1 0 1 1 0 0 1 0 0 0 1 0 0 1 1 1 0 1 0 0 1 0 1 1 1 0 1 1 0 1 1 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 1 1 0 
100, 10, 2, 16004.9850, 600.3550, 1, 0 1 1 1 0 0 1 0 0 0 1 1 0 1 1 0 0 0 1 0 0 1 1 0 0 1 0 1 0 1 0 1 0 1 1 0 0 1 1 0 1 0 0 1 0 1 1 0 1 1 1 0 0 1 0 0 1 1 0 1 0 0 0 1 0 0 1 0 1 1 0 1 0 0 1 1 1 0 1 0 1 1 0 1 1 1 1 0 1 1 0 1 1 1 0 0 0 1 0 1 
100, 20, 2, 52359.5130, 600.2882, 1, 0 1 1 0 1 0 1 1 0 1 0 0 1 0 0 1 1 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 1 0 0 1 1 1 1 1 1 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 1 1 0 1 1 0 0 0 1 1 0 1 0 1 1 0 1 1 0 1 1 0 0 1 1 0 1 0 0 0 1 0 0 1 0 1 0 
50, 10, 3, 24431.3380, 1200.7642, 1, 0 1 1 0 0 0 0 0 2 1 2 2 1 1 0 0 2 2 0 0 1 0 0 2 1 2 2 2 1 1 1 2 1 1 1 2 0 2 1 2 2 1 0 1 0 1 2 0 0 2 
50, 10, 4, 44791.1960, 1200.3300, 1, 0 1 2 2 3 0 2 0 3 1 1 3 0 3 3 1 0 3 0 0 1 3 1 2 2 2 1 0 2 2 1 3 1 2 0 1 2 1 3 1 0 2 0 2 3 2 3 3 0 3 
50, 15, 3, 59547.1560, 1200.7049, 1, 0 1 1 1 2 2 1 2 2 1 0 0 1 2 0 2 0 1 2 2 0 0 2 2 1 0 0 0 1 1 1 1 2 0 1 0 1 0 0 2 0 2 2 0 1 2 1 0 1 2 
50, 15, 4, 74780.0680, 1200.9948, 1, 0 1 0 2 2 3 0 2 0 3 2 3 1 0 0 2 3 3 2 2 3 1 3 3 1 0 2 0 1 1 2 2 1 0 2 1 3 0 1 1 3 1 1 2 0 3 0 2 0 3 
50, 20, 3, 79396.7430, 1200.0554, 1, 0 0 1 1 2 1 2 1 1 0 0 0 0 2 2 1 2 1 0 2 0 2 0 1 1 2 1 0 0 1 2 2 1 2 1 2 1 2 2 1 0 2 1 2 0 2 0 0 0 0 
50, 20, 4, 93460.6970, 1200.5869, 1, 0 1 1 2 1 0 2 0 2 3 2 3 1 1 0 2 0 2 2 2 0 3 3 1 0 3 0 0 3 0 1 0 3 3 3 3 2 3 2 1 0 2 1 0 3 1 1 3 1 2 
100, 10, 3, 24549.5000, 1200.6097, 1, 0 0 1 2 0 2 1 0 0 0 2 1 2 0 0 1 0 2 0 1 1 2 1 0 1 0 1 1 1 1 2 0 0 1 1 2 1 2 1 0 0 0 2 1 2 1 2 2 2 0 0 0 1 1 2 1 0 0 2 1 1 1 2 2 2 0 2 1 2 2 0 2 0 2 2 2 1 1 1 1 2 2 0 2 0 1 0 0 0 1 2 1 2 2 2 0 0 1 0 0 
100, 10, 4, 32166.6430, 1200.6759, 1, 0 1 2 2 1 0 2 1 0 1 1 0 1 0 2 0 2 1 3 1 1 3 3 2 1 1 0 3 0 2 2 3 0 3 2 3 0 3 3 1 3 1 2 2 3 0 3 0 0 0 0 1 0 0 3 1 3 1 0 1 1 0 2 2 0 0 0 2 1 3 2 2 3 3 2 1 2 3 2 3 0 1 2 2 2 2 2 3 1 0 1 3 3 3 2 2 3 0 3 1 
100, 15, 3, 43099.5640, 1200.7012, 1, 0 1 1 1 1 0 1 0 0 2 2 2 0 1 1 0 2 0 2 1 2 2 1 2 1 2 0 1 2 2 2 2 1 1 0 0 1 1 1 1 2 1 0 2 0 2 2 0 2 1 2 2 0 1 0 2 1 2 2 2 2 0 2 0 0 1 0 2 0 1 2 0 0 0 2 0 1 1 1 1 1 0 2 0 1 0 1 0 2 2 1 0 2 0 0 0 0 2 1 0 
100, 15, 4, 53206.3470, 1200.1882, 1, 0 1 2 0 2 2 2 2 2 3 1 1 2 2 2 1 1 0 1 0 1 0 3 3 2 0 2 0 3 1 3 0 3 1 3 0 3 0 0 2 0 0 2 0 2 0 1 3 3 3 0 0 1 3 1 1 3 3 1 2 3 0 1 0 2 0 3 2 3 0 1 1 0 1 3 3 1 2 2 2 1 0 3 1 0 2 3 1 3 3 1 1 0 3 1 2 2 1 3 2 
100, 20, 3, 76304.6280, 1200.6210, 1, 0 1 0 1 2 2 1 0 2 2 0 1 1 2 1 1 1 2 2 1 0 0 0 0 0 1 2 1 0 2 2 0 0 1 0 2 1 1 2 0 0 1 0 1 2 2 2 2 2 1 2 1 0 2 1 1 1 2 2 1 0 0 0 1 2 2 0 1 2 1 0 2 2 0 1 1 1 0 2 2 1 1 0 2 2 0 1 0 0 0 1 2 0 0 2 1 2 0 0 2 
