n, m, k, value, time, valid, solution
50, 2, 5, 446.0180, 1800.6786, 1, 0 1 1 0 1 2 1 0 3 2 0 4 4 1 3 0 2 3 3 4 3 3 0 2 0 0 4 0 1 2 1 0 2 1 2 1 4 4 1 2 4 4 2 1 1 4 3 3 0 3 
50, 2, 10, 4971.1500, 1800.5829, 1, 0 1 2 3 4 2 5 3 0 5 4 6 1 0 6 7 1 2 3 4 8 8 9 3 4 8 7 5 8 5 2 9 8 8 4 6 7 6 0 7 7 9 3 1 0 0 9 2 4 7 
50, 2, 20, 14796.5460, 1800.1445, 1, 0 1 2 3 4 5 6 7 4 8 9 8 0 10 11 12 7 13 14 11 9 10 15 3 9 7 16 17 1 18 2 11 2 13 12 15 6 18 14 19 6 14 17 19 3 16 5 13 1 16 
50, 5, 5, 17898.3480, 1800.4031, 1, 0 1 2 2 2 1 0 0 3 3 2 2 0 0 4 1 3 0 3 0 0 4 2 4 1 1 3 2 1 4 3 2 3 4 1 3 4 3 4 0 2 1 4 4 0 1 4 3 4 1 
50, 5, 10, 37214.4460, 1800.3595, 1, 0 1 2 3 4 5 6 7 1 0 8 3 8 1 7 5 1 9 3 2 5 7 5 8 4 3 4 2 2 4 7 7 1 0 4 3 9 8 5 9 2 9 6 0 8 0 6 4 6 6 
50, 5, 20, 58420.4620, 1800.0131, 1, 0 1 2 3 4 5 2 6 7 8 9 10 11 12 6 13 14 4 15 16 10 16 5 6 3 8 0 9 17 17 7 4 15 18 18 13 17 8 16 14 11 19 1 18 10 12 15 0 3 19 
50, 10, 5, 52799.3510, 1800.8500, 1, 0 1 0 2 1 1 3 0 4 3 0 4 1 3 4 0 3 2 0 3 3 2 1 2 1 4 3 0 0 4 3 1 0 2 2 4 4 3 1 4 2 0 2 1 2 1 4 2 3 3 
50, 10, 10, 75424.4000, 1800.8072, 1, 0 1 2 1 3 3 4 2 5 6 6 4 1 5 3 7 2 8 6 2 6 9 6 7 1 4 0 0 2 9 8 8 5 5 8 7 9 0 4 9 7 5 0 3 9 4 8 3 1 7 
50, 10, 20, 94559.9650, 1800.5227, 1, 0 1 2 3 4 5 6 7 8 9 4 2 10 11 12 0 13 14 0 9 11 15 11 14 3 6 1 5 2 7 15 15 16 8 6 17 18 12 13 16 10 18 19 13 7 19 17 1 3 14 
50, 20, 5, 98872.8140, 1800.7115, 1, 0 0 1 2 1 3 4 0 2 1 4 1 0 0 0 4 4 1 0 4 4 3 3 3 3 3 2 4 2 0 4 1 2 2 4 2 0 2 1 3 3 1 2 1 1 3 0 2 3 4 
50, 20, 10, 112723.6460, 1800.0410, 1, 0 1 2 3 4 5 6 7 8 6 5 5 7 4 3 1 1 0 8 4 5 3 9 9 9 5 2 9 2 8 1 0 6 8 1 6 0 2 3 9 7 4 2 0 7 4 8 3 7 6 
50, 20, 20, 127625.2140, 1800.4968, 1, 0 1 2 3 4 0 5 6 7 2 8 8 3 9 10 5 0 11 7 12 6 13 10 13 14 9 15 16 2 14 17 15 4 13 9 14 11 18 7 1 19 12 16 15 19 18 17 19 17 5 
100, 2, 5, 16.6160, 1800.6615, 1, 0 1 2 1 3 2 3 1 1 4 2 2 0 1 0 1 2 0 0 4 0 1 0 3 0 2 2 1 4 1 0 0 3 3 2 2 1 4 1 0 3 4 4 1 1 4 1 2 3 2 2 3 0 4 4 3 2 1 2 4 3 3 4 3 4 2 3 1 1 3 2 0 0 0 3 1 3 3 4 3 2 2 4 1 0 0 1 2 2 3 4 0 0 3 4 0 4 3 4 0 
100, 2, 10, 903.6460, 1800.6451, 1, 0 1 2 1 3 4 3 3 5 4 6 6 4 3 7 8 5 9 5 1 9 5 2 4 1 2 8 0 1 5 9 7 8 3 9 1 3 7 2 7 8 0 6 6 8 7 4 7 9 6 0 1 3 7 1 8 8 9 2 1 6 4 5 7 4 2 3 0 4 3 2 8 3 2 9 0 7 8 9 9 5 0 8 8 6 7 2 6 5 8 2 1 8 0 3 4 9 1 5 6 
100, 2, 20, 5676.8220, 1800.0832, 1, 0 1 2 0 3 4 5 0 6 7 1 8 7 8 2 9 6 10 8 11 7 3 9 9 2 12 10 13 14 15 12 2 13 4 16 8 17 11 3 18 11 6 16 8 0 14 12 10 2 5 17 12 15 18 5 19 16 17 15 13 19 2 9 17 16 12 4 10 10 4 7 4 1 12 15 18 1 14 9 11 19 14 1 5 18 1 3 19 13 16 13 11 6 0 3 4 19 10 17 5 
100, 5, 5, 5105.2250, 1800.8217, 1, 0 1 0 2 2 2 3 0 0 2 3 1 3 4 0 4 0 1 0 4 0 1 0 4 3 2 4 4 0 2 3 4 1 0 1 4 2 2 1 1 2 3 2 2 1 3 4 1 4 4 1 3 0 1 4 0 3 0 4 3 4 4 2 1 4 2 4 0 1 2 1 2 1 1 3 3 2 3 0 1 4 4 2 1 2 2 4 1 0 1 3 3 4 2 0 0 3 4 3 0 
100, 5, 10, 24621.8030, 1800.8319, 1, 0 0 0 1 2 3 1 1 4 3 5 1 5 0 6 2 4 0 5 0 7 5 8 0 2 9 1 5 3 2 7 6 1 1 3 2 3 9 5 8 7 2 9 1 2 4 9 7 3 9 0 3 7 7 6 4 9 3 7 6 9 8 7 8 7 5 5 1 8 6 3 6 2 3 6 0 5 9 6 4 4 1 2 4 6 3 1 8 4 8 6 0 8 2 8 7 9 5 4 8 
100, 5, 20, 38263.5850, 1800.6959, 1, 0 1 2 3 4 5 6 1 7 8 9 10 11 12 1 13 14 9 3 15 15 6 16 13 5 6 10 0 17 2 14 3 5 8 17 14 6 14 3 5 15 11 0 1 18 7 11 4 1 17 0 17 2 4 16 9 6 3 5 2 8 18 15 4 10 4 7 19 18 10 8 1 10 13 12 13 16 17 2 15 13 7 10 19 16 12 19 7 12 16 19 18 11 18 9 3 8 9 12 19 
