n, m, k, value, time, valid, solution
50, 2, 2, 2.9000, 600.6431, 1, 0 0 1 1 1 0 0 1 1 1 1 0 0 0 1 1 0 1 0 1 1 0 1 1 0 1 1 1 1 0 0 0 0 1 1 1 1 1 1 0 1 0 0 0 0 0 0 0 1 0 
50, 5, 2, 2510.2250, 600.4327, 1, 0 0 0 1 1 1 1 1 1 0 0 1 0 1 1 0 1 1 1 1 1 0 0 1 0 1 1 1 0 0 0 1 1 1 0 0 1 0 0 0 1 0 0 1 0 0 1 0 1 1 
50, 10, 2, 16179.6300, 600.6624, 1, 0 1 0 0 1 0 0 0 1 1 1 1 1 0 1 1 0 0 0 1 1 0 1 0 1 1 0 0 0 1 0 1 0 0 0 1 0 1 0 1 1 1 0 1 1 0 0 0 0 1 
50, 20, 2, 57630.8140, 600.2982, 1, 0 1 1 0 1 0 1 0 0 0 1 1 0 1 1 0 0 1 1 0 1 1 0 0 0 1 0 1 1 0 0 1 0 1 1 0 0 0 1 1 0 1 1 0 1 0 1 1 0 0 
100, 2, 2, 14.2470, 600.7471, 1, 0 1 0 0 1 0 0 1 0 1 0 1 1 0 0 0 0 1 1 1 1 0 0 1 1 1 1 0 0 1 1 1 1 1 1 0 1 0 0 0 1 1 0 1 0 0 1 0 1 0 1 1 0 0 1 1 1 1 0 0 1 0 1 0 0 0 1 1 1 1 0 1 0 1 1 0 1 1 0 1 1 0 0 1 1 0 0 1 1 1 0 0 1 1 0 1 0 1 0 0 
100, 5, 2, 2444.5330, 600.1433, 1, 0 0 1 0 0 1 0 0 1 0 0 1 1 0 0 0 1 0 0 1 0 1 1 1 1 0 0 1 1 1 1 0 0 1 0 1 1 0 1 1 1 1 1 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 1 0 1 1 1 1 0 0 0 0 1 0 0 1 0 1 1 1 1 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1 1 1 0 
100, 10, 2, 17705.1750, 600.2520, 1, 0 0 1 0 1 1 0 0 0 1 1 1 0 0 1 0 0 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 0 1 0 0 0 1 1 1 1 0 0 1 1 0 0 1 0 0 1 0 0 1 0 1 0 1 1 1 1 1 1 1 0 0 0 1 0 0 1 0 0 1 1 0 0 1 0 1 1 0 1 1 0 0 0 1 1 1 0 0 1 0 1 1 0 0 1 1 
100, 20, 2, 51947.7360, 600.2065, 1, 0 0 0 1 0 0 1 1 1 0 0 1 1 0 0 1 1 0 1 0 1 1 1 1 0 1 0 0 1 0 1 1 1 1 1 0 1 0 1 1 0 0 1 1 0 1 0 0 1 1 1 0 0 0 0 1 0 1 0 0 1 1 0 1 0 0 0 1 1 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 1 1 1 1 1 0 1 1 1 0 0 0 0 0 0 0 
50, 10, 3, 29386.3980, 1200.3152, 1, 0 1 2 2 1 0 1 0 1 2 1 0 2 1 0 1 2 2 2 0 1 0 1 1 2 0 1 1 2 0 1 1 0 1 2 0 2 2 2 0 0 2 0 2 1 1 0 0 2 2 
50, 10, 4, 40016.8250, 1200.6851, 1, 0 1 0 2 1 0 3 3 3 0 2 1 0 3 3 2 1 1 3 2 2 3 2 0 2 3 0 2 0 3 0 1 0 3 2 2 3 1 1 0 2 3 1 0 3 1 1 0 2 1 
50, 15, 3, 60391.1330, 1200.2815, 1, 0 0 1 2 2 1 0 0 2 2 2 2 0 2 1 1 1 0 2 0 2 1 2 1 0 1 2 0 0 0 1 0 2 2 1 0 1 1 2 2 1 0 0 1 0 1 2 2 0 1 
50, 15, 4, 75138.9480, 1200.6047, 1, 0 1 0 1 2 2 1 1 0 3 3 3 1 0 0 1 2 2 0 1 3 2 3 2 3 0 1 3 3 3 2 2 3 0 1 3 2 0 2 2 1 0 1 0 1 2 0 1 0 3 
50, 20, 3, 81437.1810, 1200.1704, 1, 0 1 1 0 1 1 1 2 2 0 1 0 1 2 2 0 1 1 2 1 0 0 0 1 0 1 2 0 1 2 2 2 2 2 0 2 1 2 0 1 0 1 0 2 0 2 2 0 0 2 
50, 20, 4, 100189.6300, 1200.3904, 1, 0 0 1 1 2 2 1 0 1 0 3 3 0 1 1 3 2 2 2 1 3 0 2 0 1 1 0 2 2 3 0 2 0 1 3 3 2 2 0 0 3 1 3 3 3 2 1 0 1 3 
