n, m, k, value, time, valid, solution
50, 2, 3, 4.5210, 1200.1927, 1, 0 1 2 0 1 2 2 0 0 1 1 2 2 0 2 2 0 1 0 0 1 2 1 0 0 0 2 1 0 2 1 2 0 1 0 2 1 1 0 1 0 0 2 1 2 1 2 0 1 0 
50, 2, 4, 105.2790, 1200.5654, 1, 0 1 1 2 0 1 0 0 0 0 1 1 3 2 2 3 1 3 1 0 2 3 3 2 0 2 0 2 2 1 3 3 0 3 3 2 0 1 1 3 1 1 2 0 2 2 0 3 0 2 
50, 3, 3, 731.1510, 1200.9229, 1, 0 1 1 2 0 2 2 1 2 0 0 1 0 2 2 0 2 1 0 1 0 0 2 0 0 2 0 0 2 0 1 1 1 0 2 2 0 1 0 2 1 1 1 0 1 1 1 2 1 2 
50, 3, 4, 1228.5610, 1200.3777, 1, 0 0 0 1 2 2 3 3 0 0 3 1 2 2 0 3 2 0 2 2 1 2 1 3 3 0 2 0 1 3 3 0 2 3 2 2 1 1 3 0 1 3 1 0 3 1 3 3 1 1 
100, 2, 3, 24.1710, 1200.9757, 1, 0 1 0 0 2 2 1 1 2 1 1 2 1 1 2 2 1 1 1 1 1 2 2 0 2 1 2 2 0 1 2 1 0 1 0 1 2 2 0 2 0 2 0 0 1 2 0 2 0 1 2 0 0 1 1 1 0 0 1 0 0 1 0 0 1 2 0 0 0 1 0 2 2 0 1 0 1 2 2 0 0 1 0 2 0 1 0 2 1 0 0 2 1 1 1 2 0 2 2 1 
100, 2, 4, 22.9840, 1200.9725, 1, 0 1 1 0 1 0 2 2 3 2 3 1 0 0 3 1 3 1 3 2 1 2 2 2 3 3 0 1 0 0 3 3 1 0 2 3 1 2 3 1 3 2 1 3 3 0 3 0 2 1 2 1 1 2 1 1 1 2 3 0 0 0 1 3 2 3 1 1 2 2 1 2 2 0 0 0 3 3 3 0 0 3 2 2 3 1 1 3 1 3 2 0 1 2 3 0 1 0 0 3 
100, 3, 3, 353.4350, 1200.5962, 1, 0 0 1 0 1 0 0 0 1 2 2 2 2 0 1 2 2 0 0 2 1 1 0 1 1 0 1 0 0 1 1 1 2 0 0 2 0 2 2 0 1 1 2 2 1 0 2 1 0 1 1 0 2 2 2 1 2 0 0 1 2 1 1 0 2 1 1 0 0 1 2 1 1 0 2 2 0 2 1 1 1 2 2 0 1 0 0 0 2 2 1 2 1 0 2 0 0 2 0 1 
100, 3, 4, 459.1760, 1200.9116, 1, 0 1 2 1 1 1 0 0 1 2 0 2 2 1 0 1 2 2 0 3 3 1 3 3 2 3 1 3 1 2 2 0 0 1 2 2 0 1 1 3 3 3 3 3 3 3 0 2 0 0 0 2 3 1 2 1 3 0 0 0 3 2 2 2 2 3 2 0 1 2 0 1 2 2 2 0 3 3 1 2 1 1 2 1 3 1 2 1 3 1 0 0 3 3 0 1 3 1 0 0 
50, 2, 5, 316.2740, 1800.4971, 1, 0 1 2 0 3 3 0 3 2 2 2 0 4 2 4 3 1 0 2 4 1 4 3 2 1 1 0 3 3 3 2 0 0 0 1 0 4 1 2 1 1 4 1 4 2 4 2 3 2 0 
50, 2, 10, 5246.5500, 1800.9716, 1, 0 1 2 3 4 5 2 6 7 5 0 2 1 7 2 8 4 9 0 5 8 6 4 9 8 8 8 9 1 9 7 8 5 4 7 0 9 0 2 1 6 3 3 8 9 6 5 4 7 3 
