n, m, k, value, time, valid, solution
50, 2, 2, 2.0810, 600.2441, 1, 0 1 0 1 0 1 0 1 1 1 0 0 1 0 1 0 0 1 0 1 1 1 0 0 1 1 1 1 0 0 1 0 0 0 0 0 1 1 1 0 1 1 0 1 1 0 0 0 1 1 
50, 5, 2, 923.1180, 600.1355, 1, 0 1 1 0 1 0 1 1 1 0 1 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 1 0 1 0 0 1 0 0 0 1 1 1 1 0 1 0 0 1 1 0 
50, 10, 2, 16185.7340, 600.2010, 1, 0 0 1 1 1 1 0 0 0 1 1 1 1 0 1 0 0 1 0 1 1 0 0 1 1 0 0 1 1 1 1 1 0 0 1 0 1 0 0 1 0 0 1 0 0 0 0 0 0 1 
50, 20, 2, 52826.3400, 600.7996, 1, 0 1 1 1 0 0 1 0 0 0 1 0 0 0 1 1 1 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 1 1 1 1 1 1 0 1 1 1 0 1 0 0 1 0 1 0 
100, 2, 2, 19.5880, 600.7997, 1, 0 1 0 0 0 1 0 1 0 1 1 1 0 1 1 0 0 0 0 0 1 0 1 1 1 0 0 1 1 0 1 0 1 0 1 1 1 1 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 1 1 0 0 1 1 0 1 0 1 0 0 0 1 1 0 0 1 1 0 0 1 0 1 0 0 1 1 0 1 0 1 0 1 1 1 1 
100, 5, 2, 2435.3830, 600.7514, 1, 0 0 1 0 1 0 1 1 1 1 1 1 1 0 1 0 1 1 0 1 1 1 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 1 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 1 0 0 1 0 1 1 0 1 0 1 1 0 1 1 1 1 1 0 0 1 0 0 0 0 1 0 1 1 1 0 0 1 0 1 0 1 0 
100, 10, 2, 16008.0370, 600.3730, 1, 0 1 1 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 1 1 1 1 0 1 1 0 0 0 0 0 1 1 1 1 0 0 0 0 1 1 1 1 1 0 1 0 0 1 0 1 1 1 0 1 0 1 1 0 1 0 0 1 0 0 1 1 1 0 0 1 0 1 1 0 1 1 1 0 0 0 1 1 0 0 1 1 0 0 1 1 0 0 1 0 0 0 
100, 20, 2, 52004.8510, 600.7051, 1, 0 0 1 0 0 1 0 0 1 0 1 0 1 1 1 0 1 1 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 1 1 1 1 0 1 0 1 1 0 0 0 1 1 0 0 1 0 1 1 0 1 0 0 1 0 1 0 1 1 1 1 0 0 1 1 0 1 0 0 0 1 1 1 0 1 0 0 0 1 1 0 0 0 1 1 1 0 0 0 
50, 10, 3, 25387.4850, 1200.9037, 1, 0 0 1 0 2 2 0 0 1 1 1 0 0 2 0 0 2 2 2 0 1 1 0 2 1 1 2 0 1 1 1 2 1 1 1 2 0 2 0 2 1 1 2 2 0 2 0 1 2 2 
50, 10, 4, 46052.7750, 1200.4316, 1, 0 1 0 0 2 1 0 1 2 0 2 0 2 1 3 3 1 0 2 3 3 3 1 1 2 0 0 2 2 2 3 0 1 0 0 3 2 1 3 3 3 2 1 0 1 1 3 3 0 2 
50, 15, 3, 57555.6720, 1200.4385, 1, 0 0 1 2 2 2 1 0 2 0 2 2 1 0 2 2 1 2 0 0 1 0 0 1 1 2 1 1 1 0 0 1 0 1 2 2 2 1 2 0 1 0 1 1 0 2 0 0 2 1 
