n, m, k, value, time, valid, solution
500, 10, 2, 18618.3260, 600.2023, 1, 0 1 1 1 0 1 1 0 0 1 1 1 0 1 1 1 1 1 0 0 0 0 0 1 0 1 1 1 1 0 1 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 1 1 0 0 1 0 1 0 0 0 1 0 1 1 1 1 0 1 0 0 1 0 0 1 1 1 1 1 0 1 0 1 1 1 0 0 1 1 0 0 0 0 1 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 1 0 1 1 1 1 0 0 0 0 0 1 1 1 0 1 1 0 0 1 0 0 0 1 0 0 1 1 0 1 0 0 0 1 0 1 1 1 1 1 1 0 0 1 1 0 0 0 1 1 1 0 0 0 1 1 0 0 1 0 1 0 0 1 0 1 0 0 1 1 0 0 0 1 1 1 1 0 0 1 0 1 0 1 1 0 1 1 0 1 0 0 1 0 1 1 1 0 0 1 0 1 0 1 1 0 0 0 1 1 0 1 0 1 1 0 1 0 0 0 0 0 1 0 1 0 0 1 1 0 0 0 0 1 1 0 1 0 0 0 0 1 0 0 0 1 1 0 1 0 1 0 0 0 1 0 1 0 1 1 0 1 0 1 0 0 0 1 1 0 1 1 1 0 0 0 1 1 0 0 1 1 1 1 1 0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 1 0 1 1 0 0 1 1 1 1 0 1 0 1 1 0 0 0 1 0 1 0 0 0 1 1 0 1 0 0 1 0 1 0 0 1 1 1 0 0 1 0 0 0 0 1 0 1 1 1 1 0 0 0 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 0 0 0 1 1 0 1 1 0 1 0 1 0 1 0 0 0 0 0 1 1 0 0 1 1 1 1 0 1 0 0 1 1 0 1 0 1 0 1 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 1 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 1 1 1 0 1 0 1 0 1 1 0 1 1 
500, 20, 2, 48165.6530, 600.1225, 1, 0 1 0 0 0 0 1 0 1 0 1 1 0 0 1 0 1 0 1 0 0 0 1 1 0 1 0 1 0 1 0 1 1 0 0 1 1 0 1 1 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 0 0 0 1 1 0 0 1 1 0 0 1 1 1 0 0 1 0 1 0 0 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 1 1 0 0 0 1 0 0 1 1 0 0 1 1 1 1 0 1 0 1 0 1 1 1 1 0 1 0 1 0 0 1 1 1 0 0 0 1 0 0 0 1 0 1 1 1 1 1 1 1 1 0 1 0 1 0 0 1 0 0 0 1 0 1 1 0 0 0 1 0 1 1 1 0 1 0 1 0 1 1 0 0 1 0 1 1 1 0 0 1 0 0 1 0 0 1 1 0 0 1 1 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0 1 1 0 1 1 0 0 0 1 0 0 0 0 1 1 1 1 0 1 1 1 1 0 1 0 0 0 1 0 0 1 1 0 0 0 1 1 1 0 0 0 0 0 0 1 1 1 1 1 1 0 1 0 1 1 0 0 0 1 1 0 1 1 1 1 1 0 1 1 1 0 1 0 1 0 1 1 1 0 0 1 1 0 0 1 0 1 0 0 0 1 1 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0 1 0 1 1 1 1 1 1 0 0 0 0 1 1 1 1 0 0 0 0 0 1 1 0 1 1 0 0 1 0 0 1 1 1 1 0 0 1 0 1 0 1 0 0 0 1 1 0 1 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 1 0 1 1 1 0 1 1 0 0 0 0 1 0 1 1 0 0 0 0 1 1 1 0 1 0 0 1 0 1 1 0 1 1 1 0 0 0 1 0 0 0 0 0 1 1 0 0 1 1 1 1 1 1 0 1 0 1 0 1 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 0 1 0 1 1 0 1 0 0 1 0 1 1 0 
50, 10, 3, 30299.1070, 1200.2140, 1, 0 1 1 0 0 1 2 2 2 1 1 2 0 1 1 2 0 1 1 0 2 0 2 2 0 1 2 0 0 1 2 2 2 0 0 1 0 2 0 1 0 2 2 0 1 1 0 1 2 2 
50, 10, 4, 46443.5800, 1200.0670, 1, 0 1 1 1 2 2 3 3 1 0 1 0 3 2 0 3 3 2 0 0 1 2 1 2 3 2 2 3 3 2 1 3 0 3 0 3 2 2 1 1 0 2 1 0 0 3 0 1 1 0 
50, 15, 3, 52934.5380, 1200.1241, 1, 0 0 1 0 2 1 0 2 1 0 0 0 2 0 0 2 1 0 1 0 2 0 1 2 0 1 1 1 2 0 2 2 2 1 2 0 1 1 1 2 0 1 2 2 2 1 1 2 2 1 
50, 15, 4, 72747.0350, 1200.3445, 1, 0 0 0 1 2 3 3 1 2 0 3 2 3 0 1 1 3 1 0 1 3 3 2 3 1 2 2 1 2 2 3 1 1 0 3 1 1 2 0 3 3 2 2 3 0 0 2 0 0 0 
50, 20, 3, 81088.5370, 1200.4595, 1, 0 1 0 2 1 2 1 1 1 0 2 0 1 0 1 2 0 1 1 0 2 0 2 2 0 2 2 0 0 1 1 0 0 1 0 2 1 2 0 2 0 2 1 2 2 1 2 1 1 2 
50, 20, 4, 95778.2250, 1200.7194, 1, 0 0 1 1 2 2 3 3 3 2 0 2 0 1 1 1 2 1 3 2 0 0 2 0 3 0 3 3 3 2 1 1 3 3 0 3 1 3 0 3 0 2 1 2 2 2 2 0 1 1 
100, 10, 3, 26304.8930, 1200.3898, 1, 0 0 0 1 1 0 2 2 0 0 2 1 1 2 2 0 0 2 1 0 1 0 0 1 1 2 2 1 1 2 1 0 2 0 1 2 0 2 2 1 2 2 0 2 2 1 1 1 1 1 2 0 0 0 1 2 0 2 2 0 1 1 2 1 2 2 1 0 1 1 2 1 0 2 1 2 0 2 1 0 0 0 2 0 2 1 1 2 2 0 2 0 2 0 1 2 1 1 0 0 
100, 10, 4, 32967.5690, 1200.7596, 1, 0 1 0 2 1 1 0 3 1 0 2 1 3 3 1 2 1 0 0 3 1 1 2 1 3 0 3 2 0 1 2 3 1 0 2 0 0 0 3 0 1 1 2 1 2 3 0 2 3 0 3 1 2 0 2 1 3 0 3 2 3 2 3 3 2 1 2 0 0 0 2 3 3 1 1 3 1 1 2 0 2 0 3 1 1 2 3 2 0 3 0 2 3 1 3 2 2 3 1 0 
100, 15, 3, 49822.4700, 1200.8283, 1, 0 1 1 1 0 2 2 2 2 2 0 2 0 1 1 2 0 2 1 1 2 2 0 2 1 0 0 1 1 1 0 2 1 0 1 2 1 0 0 1 1 0 1 2 2 1 0 2 2 0 2 0 1 2 2 1 2 2 0 0 0 0 1 0 0 0 2 2 1 0 1 1 1 2 0 1 2 0 2 2 1 1 1 2 0 0 0 1 1 2 2 1 0 2 1 0 0 1 0 2 
100, 15, 4, 56474.8320, 1200.4818, 1, 0 0 1 2 2 2 0 1 1 0 1 0 3 1 3 3 2 0 1 2 0 1 2 0 2 0 2 3 0 1 1 3 1 0 1 0 2 1 1 0 1 1 3 2 0 1 0 1 2 0 3 1 0 1 3 3 0 1 1 3 3 1 0 2 3 3 1 0 1 3 3 3 2 2 2 2 2 0 2 0 2 3 2 2 0 3 2 3 3 2 3 0 3 3 3 0 1 2 3 2 
100, 20, 3, 71399.3930, 1200.8153, 1, 0 1 1 1 2 0 0 2 2 2 0 2 1 1 0 1 0 2 0 0 2 2 2 1 2 1 2 1 1 1 0 1 0 0 1 2 2 2 2 0 1 1 2 1 0 1 0 0 0 0 0 1 0 1 2 0 0 0 2 2 1 2 0 0 2 2 0 1 2 0 1 0 2 2 1 0 1 0 1 2 2 2 1 1 0 2 1 2 2 0 0 2 1 1 2 0 0 2 1 1 
100, 20, 4, 90874.7600, 1200.5937, 1, 0 0 0 1 1 0 2 2 0 2 3 2 2 0 3 2 1 2 0 3 0 0 1 2 0 1 2 0 3 0 3 0 2 0 0 0 1 2 1 1 1 3 1 3 3 1 3 3 0 3 3 3 3 1 2 2 1 3 3 2 3 3 3 2 1 3 0 1 1 2 3 3 2 2 0 0 0 1 0 3 1 1 3 2 0 3 2 1 1 1 2 1 2 3 2 1 2 2 0 1 
50, 4, 3, 2189.3630, 1200.3016, 1, 0 0 1 2 1 0 1 1 2 0 1 1 2 1 1 1 1 2 2 0 1 2 1 2 0 0 2 1 2 0 2 1 0 1 0 0 2 2 2 0 2 0 0 2 2 0 2 0 0 2 
50, 4, 4, 4937.6900, 1200.0126, 1, 0 1 2 1 3 0 3 0 2 2 1 2 2 0 0 1 2 1 0 1 2 2 3 0 1 0 0 1 1 1 2 0 3 3 3 2 3 0 2 3 1 3 2 2 3 3 3 3 1 1 
50, 5, 3, 5589.2230, 1200.3372, 1, 0 0 1 1 2 0 2 1 2 1 1 1 0 0 2 2 2 0 1 2 1 1 1 2 2 0 2 1 1 2 0 0 2 0 1 0 0 1 1 0 2 0 0 1 1 2 2 2 2 0 
50, 5, 4, 10345.0500, 1200.3574, 1, 0 0 1 2 2 0 0 1 2 2 3 2 0 3 1 2 2 1 3 1 1 1 2 3 0 3 1 0 3 2 1 0 3 3 3 0 2 0 1 0 0 3 3 1 0 1 2 1 3 2 
100, 4, 3, 1314.9950, 1200.0766, 1, 0 0 0 1 1 0 0 2 1 1 0 2 2 0 1 0 1 1 1 0 0 2 2 0 0 1 1 0 0 0 2 2 0 1 1 1 0 1 2 1 0 2 0 1 1 2 2 1 1 2 2 1 1 1 1 0 2 1 2 1 2 2 2 0 0 1 2 2 1 1 2 2 1 0 0 2 0 1 2 2 0 1 2 1 0 1 1 2 2 2 2 2 0 0 2 2 0 0 0 2 
100, 4, 4, 2115.8560, 1200.1934, 1, 0 1 1 1 0 2 0 2 3 0 3 0 0 1 2 2 3 3 0 3 1 2 0 0 2 0 2 0 0 3 2 1 2 0 0 0 0 1 2 2 2 2 3 1 3 2 3 2 1 1 3 3 1 3 1 3 2 3 3 1 3 1 3 1 3 2 2 0 2 2 3 2 1 1 0 3 1 1 0 3 1 1 3 2 2 0 3 3 2 0 1 0 1 2 1 1 3 0 1 1 
100, 5, 3, 2867.1320, 1200.6347, 1, 0 1 1 1 2 0 1 0 2 1 0 0 0 2 1 2 0 0 2 1 2 2 2 2 1 0 2 2 0 2 1 1 2 1 2 2 1 1 2 1 1 2 1 0 0 0 1 0 1 2 0 1 2 0 1 0 2 1 0 1 2 0 1 1 2 0 0 2 2 0 1 0 2 1 0 1 2 1 2 0 1 1 2 0 0 0 1 0 0 2 1 1 1 2 2 0 2 0 1 1 
100, 5, 4, 7220.1690, 1200.7825, 1, 0 1 1 2 3 0 2 1 0 2 2 1 3 2 2 2 1 3 2 3 0 1 3 0 1 0 3 2 3 1 2 2 2 0 3 1 0 0 3 0 1 0 2 0 2 0 1 1 2 1 1 1 0 2 0 0 0 3 0 3 3 2 0 1 2 1 3 0 1 1 0 3 3 3 1 0 0 1 3 3 2 1 0 0 0 1 3 2 2 1 0 1 2 3 2 2 3 1 3 3 
