n, m, k, value, time, valid, solution
50, 2, 3, 10.8700, 1200.9959, 1, 0 1 0 1 0 1 2 0 1 2 0 1 2 0 2 2 1 1 2 1 2 1 2 0 1 0 0 1 0 1 2 2 0 0 0 2 2 0 1 2 2 0 0 0 1 1 2 0 2 1 
50, 2, 4, 92.5570, 1200.2085, 1, 0 1 1 1 2 2 1 3 2 2 3 3 3 0 1 1 2 2 1 1 0 3 3 3 0 2 3 0 0 3 3 0 1 1 1 2 3 0 3 0 0 1 2 2 0 0 0 2 2 3 
50, 3, 3, 280.7730, 1200.0110, 1, 0 1 2 2 0 1 2 0 0 1 2 1 1 0 1 0 1 0 0 2 0 1 1 2 1 2 2 2 1 2 0 0 0 0 1 1 1 2 0 2 2 0 0 0 2 2 2 0 2 1 
50, 3, 4, 755.5840, 1200.3607, 1, 0 0 1 1 2 1 2 0 3 2 0 3 0 3 2 0 1 0 0 2 0 3 2 2 3 3 1 2 3 1 3 0 3 1 3 2 3 1 3 1 0 2 1 0 2 1 3 3 2 0 
100, 2, 3, 20.9290, 1200.6307, 1, 0 1 0 2 0 0 0 1 1 2 1 1 0 2 2 2 1 0 1 0 0 2 2 1 2 1 0 1 1 0 1 1 1 1 1 1 1 1 2 1 2 2 1 1 1 2 1 0 2 1 2 2 1 2 0 2 1 1 0 0 2 0 0 1 1 2 0 0 1 0 2 1 0 0 0 2 0 2 0 1 1 2 2 1 0 0 0 2 2 2 2 2 0 0 0 0 2 2 0 1 
100, 2, 4, 41.3900, 1200.9050, 1, 0 1 1 2 3 1 0 0 2 0 1 2 2 2 2 0 2 3 0 1 0 3 2 1 2 1 3 0 3 1 2 3 3 2 3 2 2 0 3 1 1 0 1 2 2 3 1 1 0 0 0 1 0 2 3 1 1 3 1 2 0 3 1 2 0 0 3 2 3 1 2 1 1 2 0 1 0 3 0 0 1 2 2 3 3 3 1 0 2 3 3 3 3 0 1 2 3 1 2 3 
100, 3, 3, 358.0160, 1200.5259, 1, 0 0 0 1 2 2 2 1 0 2 0 2 1 1 1 0 0 0 1 0 1 2 2 1 1 0 0 0 1 1 1 0 0 0 2 2 2 0 2 1 2 0 2 0 1 0 1 1 1 1 0 1 1 2 1 2 1 1 2 0 2 2 0 2 1 2 0 2 0 0 1 2 0 0 1 2 1 2 2 0 0 1 1 2 2 0 0 2 1 2 1 0 0 1 2 1 1 0 1 2 
100, 3, 4, 461.9300, 1200.8192, 1, 0 1 1 2 0 1 2 0 0 0 0 0 0 1 3 3 2 2 1 1 3 0 2 2 2 0 1 1 3 0 1 3 2 0 1 3 2 3 2 0 1 3 2 0 0 2 2 1 1 2 1 0 3 1 1 2 3 2 2 1 1 3 3 0 3 3 0 1 3 3 1 0 3 2 3 1 0 0 0 2 2 3 1 3 1 3 1 0 1 0 0 1 3 2 3 0 2 2 3 2 
50, 2, 5, 269.6470, 1800.8366, 1, 0 1 1 1 2 0 3 3 2 0 1 2 2 0 0 1 4 3 3 0 1 2 3 4 1 2 1 3 4 1 1 4 0 0 3 0 1 3 3 2 0 4 4 2 0 4 4 0 3 4 
50, 2, 10, 5180.9980, 1800.8937, 1, 0 1 2 3 1 4 5 3 6 7 2 3 8 8 0 4 5 9 1 5 0 7 8 6 8 3 1 0 6 5 7 8 0 9 4 7 9 1 8 9 6 2 2 3 7 9 4 6 5 1 
50, 2, 20, 15754.6240, 1800.3789, 1, 0 1 2 3 4 5 1 6 4 7 8 9 0 10 2 11 12 13 11 14 15 10 16 3 6 1 17 18 15 19 9 7 15 13 12 16 9 19 2 8 7 14 18 6 3 17 5 13 17 11 
50, 5, 5, 15065.4100, 1800.1531, 1, 0 1 2 2 1 0 0 3 3 1 4 3 4 4 3 0 0 1 0 2 0 1 4 2 0 1 3 2 2 2 2 1 3 3 4 4 2 1 3 4 1 3 2 3 1 0 4 1 3 0 
50, 5, 10, 35383.6960, 1800.4227, 1, 0 1 2 3 4 0 5 6 7 1 6 3 0 4 2 1 4 7 8 5 2 7 6 1 2 8 3 5 8 4 0 4 1 3 8 9 7 2 7 3 5 6 9 9 1 9 8 8 0 5 
50, 5, 20, 58933.4060, 1800.1514, 1, 0 1 2 3 4 5 2 4 6 7 3 8 9 10 11 12 13 14 15 4 8 15 5 7 15 1 0 16 17 17 6 18 18 7 11 12 17 14 14 13 9 19 16 1 8 10 18 0 11 19 
50, 10, 5, 53688.5980, 1800.7235, 1, 0 1 2 3 1 3 1 3 4 0 1 1 3 2 0 4 1 3 3 0 1 2 0 2 2 1 4 4 1 2 4 3 4 3 3 0 4 0 2 4 3 4 2 0 0 2 2 0 1 1 
50, 10, 10, 75630.6370, 1800.5183, 1, 0 0 1 2 3 4 3 5 4 1 6 7 8 9 3 0 2 5 2 5 0 7 6 6 1 4 7 9 1 1 0 7 9 2 5 6 8 2 4 5 8 9 7 6 3 4 8 3 1 9 
50, 10, 20, 95013.5270, 1800.4667, 1, 0 1 2 3 4 1 5 6 7 2 8 4 9 10 11 0 12 5 0 12 6 13 14 9 13 10 6 15 15 2 16 5 17 1 10 8 3 11 13 18 18 17 19 16 7 19 14 7 16 15 
50, 20, 5, 98852.1030, 1800.1317, 1, 0 1 2 3 0 3 3 0 4 2 0 2 0 0 4 1 3 3 1 0 4 0 4 4 4 3 2 4 2 0 1 3 2 4 3 2 3 2 4 3 1 1 2 4 0 1 1 2 1 1 
50, 20, 10, 113480.0440, 1800.8526, 1, 0 1 2 3 4 1 5 6 7 2 4 6 2 8 6 7 5 4 7 5 8 6 0 4 3 1 8 0 2 3 9 4 7 6 3 3 2 0 5 1 9 1 8 8 0 9 9 5 9 7 
50, 20, 20, 128158.3600, 1800.4802, 1, 0 1 2 3 4 5 6 7 8 9 10 5 11 12 3 13 14 6 8 6 10 0 15 12 16 5 7 17 2 16 18 14 13 12 17 16 11 15 8 1 7 2 19 14 9 4 18 9 0 19 
100, 2, 5, 50.3520, 1800.3769, 1, 0 1 2 0 2 1 3 4 4 3 0 0 2 0 0 4 1 4 2 1 1 3 0 1 1 1 1 0 0 3 1 2 2 0 2 3 1 2 1 0 2 4 0 1 2 3 3 4 3 0 1 2 4 2 3 1 1 2 4 4 2 1 2 1 0 1 1 0 4 3 3 2 4 1 4 2 2 4 2 1 3 3 0 4 0 3 3 0 4 0 4 3 2 4 0 1 2 3 2 3 
100, 2, 10, 1817.8430, 1800.5162, 1, 0 1 2 2 2 3 4 3 2 3 1 5 6 1 7 8 0 5 4 9 5 5 1 6 2 7 4 7 3 2 1 9 4 7 9 6 7 2 5 4 7 4 3 8 6 5 4 3 7 9 3 6 7 9 0 0 6 2 9 8 8 5 5 4 8 0 1 7 5 4 9 6 8 7 6 6 3 0 6 7 7 2 8 9 0 6 8 9 9 4 8 8 1 3 1 1 1 1 0 9 
100, 2, 20, 5588.6960, 1800.8012, 1, 0 1 2 3 4 5 5 2 6 7 8 9 10 11 12 9 13 14 11 7 15 7 16 3 9 13 3 14 1 15 6 13 5 0 1 11 14 4 3 14 12 1 15 17 1 0 7 12 5 15 4 18 10 10 18 6 15 18 8 13 8 19 8 4 13 2 14 4 12 16 2 2 6 18 17 0 18 3 9 5 11 0 13 19 16 17 19 13 3 18 11 10 19 16 19 12 19 6 17 9 
100, 5, 5, 5073.4580, 1800.6289, 1, 0 1 2 2 3 2 0 0 3 1 2 0 2 4 3 3 0 3 2 3 4 4 0 3 4 1 0 1 4 0 2 3 1 2 0 3 3 1 2 1 1 3 3 1 1 2 2 3 2 3 0 4 4 1 4 1 3 0 2 3 2 1 2 0 0 0 3 4 2 1 2 3 2 0 4 0 2 1 0 4 0 2 1 4 1 4 1 1 4 4 4 0 4 3 1 4 0 3 4 4 
