n, m, k, value, time, valid, solution
50, 2, 2, 2.0810, 600.6541, 1, 0 0 1 0 1 0 0 1 1 0 0 1 1 1 1 0 0 0 1 0 1 1 1 1 1 0 0 0 0 0 1 1 1 1 0 0 0 1 0 0 0 1 0 1 1 1 1 0 0 0 
50, 5, 2, 921.9770, 600.8796, 1, 0 0 1 0 0 0 0 0 1 1 0 1 1 1 1 0 0 0 0 1 0 1 1 0 1 0 1 0 0 1 0 0 0 0 1 1 1 0 1 0 1 1 1 0 0 1 1 1 0 0 
50, 10, 2, 17112.0810, 600.6867, 1, 0 0 0 1 1 1 0 0 0 0 1 0 1 0 0 1 0 0 1 0 0 1 1 1 1 0 0 1 0 1 1 0 1 1 1 1 1 1 1 1 1 0 0 0 0 1 0 0 0 0 
50, 20, 2, 52826.3400, 600.6457, 1, 0 1 1 1 0 0 1 0 0 0 1 0 0 0 1 1 1 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 1 1 1 1 1 1 0 1 1 1 0 1 0 0 1 0 1 0 
100, 2, 2, 21.4550, 600.2127, 1, 0 0 1 1 1 1 1 1 1 1 1 0 0 1 0 0 0 1 1 1 1 0 1 0 1 0 1 1 0 0 1 1 1 1 1 0 1 0 0 1 1 1 0 1 1 0 0 1 0 0 1 1 0 0 1 1 1 0 0 1 1 1 1 1 0 0 1 0 0 1 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 1 0 1 0 1 
100, 5, 2, 3601.9930, 600.1062, 1, 0 0 1 1 0 0 1 0 1 0 0 1 1 1 0 0 0 0 0 0 1 1 1 1 0 1 1 0 0 1 0 0 1 0 0 1 1 0 1 1 1 1 1 1 0 1 0 0 1 0 0 1 1 1 1 1 1 0 1 0 0 1 0 0 0 0 0 1 0 0 1 1 0 0 0 1 1 0 1 0 1 0 0 1 1 0 0 1 0 1 0 1 0 1 0 1 1 0 0 1 
100, 10, 2, 16004.9850, 600.1726, 1, 0 1 1 1 0 0 1 0 0 0 1 1 0 1 1 0 0 0 1 0 0 1 1 0 0 1 0 1 0 1 0 1 0 1 1 0 0 1 1 0 1 0 0 1 0 1 1 0 1 1 1 0 0 1 0 0 1 1 0 1 0 0 0 1 0 0 1 0 1 1 0 1 0 0 1 1 1 0 1 0 1 1 0 1 1 1 1 0 1 1 0 1 1 1 0 0 0 1 0 1 
100, 20, 2, 52359.5130, 600.5468, 1, 0 1 1 0 1 0 1 1 0 1 0 0 1 0 0 1 1 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 1 0 0 1 1 1 1 1 1 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 1 1 0 1 1 0 0 0 1 1 0 1 0 1 1 0 1 1 0 1 1 0 0 1 1 0 1 0 0 0 1 0 0 1 0 1 0 
50, 10, 3, 24431.3380, 1200.7777, 1, 0 1 1 0 0 0 0 0 2 1 2 2 1 1 0 0 2 2 0 0 1 0 0 2 1 2 2 2 1 1 1 2 1 1 1 2 0 2 1 2 2 1 0 1 0 1 2 0 0 2 
50, 10, 4, 44791.1960, 1200.1869, 1, 0 1 2 2 3 0 2 0 3 1 1 3 0 3 3 1 0 3 0 0 1 3 1 2 2 2 1 0 2 2 1 3 1 2 0 1 2 1 3 1 0 2 0 2 3 2 3 3 0 3 
50, 15, 3, 52708.0190, 1200.0197, 1, 0 1 0 1 1 0 2 0 2 0 1 1 2 0 0 2 0 1 2 0 2 0 1 0 2 0 0 2 2 1 2 1 2 1 0 1 1 1 2 2 2 2 0 0 1 1 1 0 2 2 
